label,ph,temperature,humidity,altitude,rainfall,N,P,K
1,6.81,29.31,53.57,1220.0,991.61,67.0,37.0,73.0
1,7.14,34.36,69.2,274.0,1447.58,51.0,39.0,63.0
1,6.99,29.37,63.68,158.0,1043.45,70.0,38.0,69.0
1,6.49,34.32,52.78,559.0,807.7,53.0,27.0,87.0
1,6.71,20.45,56.13,215.0,965.36,97.0,22.0,65.0
1,6.8,19.98,67.66,191.0,907.97,72.0,48.0,83.0
1,6.45,14.22,64.31,874.0,1240.0,54.0,60.0,79.0
1,7.49,18.94,63.09,980.0,1034.6,92.0,50.0,116.0
1,6.02,33.73,43.96,1466.0,805.7,92.0,32.0,68.0
1,6.73,14.74,42.83,632.0,1041.19,92.0,45.0,73.0
1,7.37,13.57,58.46,1590.0,1327.69,88.0,36.0,58.0
1,7.25,33.67,40.16,545.0,1025.5,90.0,45.0,80.0
1,7.41,14.93,41.09,920.0,1158.61,50.0,34.0,88.0
1,6.46,19.02,56.61,918.0,875.57,53.0,44.0,89.0
1,6.57,25.34,41.23,426.0,1052.47,90.0,47.0,108.0
1,6.79,15.74,57.99,304.0,1351.76,97.0,21.0,96.0
1,7.29,13.74,61.34,1365.0,1475.34,59.0,39.0,75.0
1,6.49,14.64,52.22,85.0,987.27,63.0,51.0,102.0
1,7.13,31.35,44.85,585.0,1013.75,59.0,40.0,61.0
1,6.09,17.13,57.17,923.0,1440.97,66.0,51.0,104.0
1,6.63,22.63,64.02,677.0,1308.57,58.0,33.0,75.0
1,7.08,27.77,63.75,1574.0,1280.5,58.0,34.0,67.0
1,6.76,18.71,65.29,144.0,1440.9,63.0,26.0,50.0
1,7.49,32.16,59.46,260.0,1104.71,60.0,33.0,64.0
1,7.08,20.3,40.23,724.0,884.2,75.0,20.0,102.0
1,6.99,23.25,66.01,97.0,1090.66,90.0,35.0,74.0
1,6.6,26.84,40.5,729.0,926.31,94.0,31.0,55.0
1,7.45,33.53,47.51,869.0,1147.35,94.0,48.0,61.0
1,7.35,33.98,64.4,1366.0,1060.01,70.0,54.0,109.0
1,7.04,18.19,46.22,84.0,1197.7,50.0,36.0,77.0
