ph,temperature,humidity,altitude,rainfall,N,P,K,label
7.49,24.92,39.95,1418.0,391.61,89.0,33.0,107.0,Almond
6.79,19.5,55.61,637.0,448.88,70.0,35.0,113.0,Almond
6.16,21.25,44.71,1448.0,495.32,69.0,28.0,83.0,Almond
6.53,20.02,45.31,526.0,392.97,107.0,40.0,80.0,Almond
6.91,27.48,42.42,252.0,480.43,36.0,21.0,107.0,Almond
6.31,20.11,51.63,702.0,585.0,35.0,25.0,108.0,Almond
7.29,21.35,43.92,68.0,354.11,68.0,28.0,82.0,Almond
7.0,22.58,30.81,407.0,581.07,49.0,21.0,91.0,Almond
6.42,17.88,50.75,179.0,686.36,79.0,40.0,85.0,Almond
6.89,26.59,48.89,1299.0,568.14,82.0,23.0,107.0,Almond
6.87,21.87,30.42,768.0,435.59,111.0,37.0,80.0,Almond
6.78,24.73,32.42,899.0,421.84,61.0,33.0,115.0,Almond
6.72,24.68,35.32,698.0,457.05,51.0,38.0,110.0,Almond
6.72,15.95,33.54,1360.0,393.03,30.0,23.0,98.0,Almond
6.24,19.35,53.71,531.0,478.47,102.0,36.0,109.0,Almond
6.11,28.12,50.5,1472.0,773.97,102.0,37.0,108.0,Almond
6.27,28.01,32.88,445.0,444.17,83.0,40.0,88.0,Almond
7.15,19.84,33.9,685.0,749.55,93.0,24.0,100.0,Almond
7.46,23.14,58.24,433.0,796.26,110.0,25.0,103.0,Almond
6.97,17.77,39.99,671.0,456.21,92.0,24.0,82.0,Almond
6.68,21.72,58.45,1213.0,351.37,119.0,36.0,102.0,Almond
6.97,22.55,40.32,1215.0,554.26,113.0,29.0,104.0,Almond
6.02,17.93,35.14,311.0,774.19,98.0,24.0,114.0,Almond
6.1,19.73,50.81,447.0,668.76,116.0,22.0,89.0,Almond
6.24,15.02,55.94,189.0,422.17,70.0,24.0,92.0,Almond
7.27,23.06,30.9,1355.0,498.91,102.0,25.0,96.0,Almond
6.44,29.35,43.84,155.0,614.37,79.0,26.0,106.0,Almond
