Crop,pH,Temperature (Â°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Radish,6.62,22.05,51.6,797,449.11,113,33,80
Radish,6.64,15.34,61.12,872,450.62,96,33,117
Radish,6.19,15.18,51.62,742,524.55,99,20,93
Radish,6.9,12.43,61.59,848,497.97,103,23,103
Radish,6.82,19.73,69.2,752,479.68,95,21,109
Radish,6.91,21.87,63.0,944,568.48,88,25,115
Radish,6.59,10.64,64.86,1318,549.18,119,21,92
Radish,6.94,17.96,64.83,236,563.78,110,27,102
Radish,6.37,11.08,63.94,1209,446.44,82,33,91
Radish,6.15,16.34,61.58,882,554.87,116,23,86
Radish,6.59,23.49,59.32,454,413.01,102,34,100
Radish,6.76,19.44,66.72,991,403.62,88,23,81
Radish,6.78,15.88,67.19,649,525.29,103,22,88
Radish,6.56,17.46,68.47,827,477.8,92,25,104
Radish,6.28,12.29,54.42,481,476.05,95,32,82
Radish,6.11,17.6,52.57,761,484.82,104,28,117
Radish,6.57,23.27,52.7,410,420.53,100,30,118
Radish,6.32,20.98,64.73,836,526.45,115,38,90
Radish,6.76,18.93,56.19,549,468.68,82,30,86
Radish,6.37,23.02,55.1,208,458.36,102,34,84
Radish,6.46,13.69,68.08,847,506.68,100,40,107
Radish,6.93,21.51,65.26,297,480.42,111,26,116
Radish,6.15,23.26,66.57,154,403.95,84,35,116
Radish,6.97,13.69,50.77,609,577.47,80,38,108
Radish,6.11,23.66,68.55,1299,583.75,120,39,111
Radish,6.67,12.64,59.1,677,589.58,95,21,85
Radish,6.02,12.69,57.05,899,590.98,106,32,96
Radish,6.66,10.41,51.23,488,595.68,116,34,109
Radish,6.91,16.1,67.77,308,425.36,107,35,92
Radish,6.99,12.18,59.74,509,552.45,89,39,81
Radish,6.23,11.03,54.09,891,408.7,96,31,88
Radish,6.49,20.34,68.16,513,514.96,112,39,102
Radish,6.35,13.63,52.23,175,517.98,93,35,118
Radish,6.12,20.65,65.75,154,577.12,95,24,117
Radish,6.87,16.3,54.3,1394,559.2,104,23,102
Radish,6.96,14.6,61.52,1069,492.24,92,36,112
Radish,6.76,15.45,69.99,268,591.97,96,32,84
Radish,6.78,20.51,52.09,532,467.58,116,39,118
Radish,6.04,16.65,50.9,109,465.64,82,33,114
Radish,6.44,24.95,52.53,269,578.94,110,34,103
Radish,6.29,11.55,69.41,1440,533.39,116,28,87
Radish,6.07,15.95,58.3,847,449.05,97,37,115
Radish,6.04,14.43,58.17,1157,524.85,98,28,106
Radish,6.84,18.77,59.52,1050,413.25,114,20,105
Radish,6.03,24.77,53.49,356,471.57,93,23,94
Radish,6.59,14.22,61.73,578,522.31,106,39,91
Radish,6.91,13.13,68.86,1444,433.33,94,25,92
Radish,6.37,14.9,51.97,500,558.92,94,31,90
Radish,6.03,15.48,66.03,811,443.01,117,35,84
Radish,6.67,12.99,62.77,785,588.98,112,25,102
Radish,6.08,11.81,57.15,1331,469.45,83,36,115
Radish,6.65,16.75,54.5,1115,426.97,106,40,88
Radish,6.44,16.3,56.64,403,458.67,90,25,86
