Crop,pH,Temperature (Â°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Sugarcane,7.35,33.51,68.28,777,1390.49,100,50,119
Sugarcane,6.28,33.72,78.0,963,1389.39,103,35,96
Sugarcane,6.5,27.93,61.85,980,1014.72,97,38,86
Sugarcane,7.2,30.07,61.23,999,1171.22,97,46,105
Sugarcane,7.5,28.3,60.82,1309,1480.78,101,32,113
Sugarcane,7.36,20.83,62.53,540,1141.48,111,30,115
Sugarcane,6.8,30.02,75.74,960,1101.77,90,33,80
Sugarcane,7.09,30.91,79.08,1410,1426.42,112,39,100
Sugarcane,7.5,22.3,74.47,0,1481.97,100,44,91
Sugarcane,6.13,31.43,60.58,744,1053.57,87,50,90
Sugarcane,6.49,31.98,67.55,979,1454.05,105,43,102
Sugarcane,6.87,32.7,63.24,637,1248.45,115,44,109
Sugarcane,7.23,30.41,66.75,791,1133.76,93,31,103
Sugarcane,6.94,21.92,74.85,554,1493.36,84,31,87
Sugarcane,7.42,23.63,70.52,1242,1195.04,103,30,101
Sugarcane,6.33,20.93,68.68,1075,1272.67,94,34,90
Sugarcane,6.92,21.24,72.31,932,1169.31,94,45,87
Sugarcane,7.28,29.49,66.23,462,1291.54,101,49,87
Sugarcane,7.26,30.25,61.25,484,1026.6,108,38,99
Sugarcane,6.06,20.61,62.96,718,1232.99,96,31,85
Sugarcane,7.38,32.95,71.13,263,1468.56,117,35,98
Sugarcane,6.28,31.05,61.27,252,1095.43,86,34,95
Sugarcane,7.37,34.09,71.15,905,1281.12,86,35,104
Sugarcane,6.71,31.52,69.64,1112,1364.97,120,49,104
Sugarcane,7.19,20.94,63.44,1258,1357.98,120,41,108
Sugarcane,6.24,23.53,78.33,721,1344.28,83,41,91
Sugarcane,7.35,31.89,74.43,1439,1135.56,120,31,92
Sugarcane,6.35,30.45,65.8,961,1309.31,89,46,120
Sugarcane,7.05,32.84,79.94,401,1101.68,98,43,80
Sugarcane,7.02,20.92,62.93,811,1295.99,97,34,114
Sugarcane,6.83,31.56,76.04,1481,1479.61,80,31,85
Sugarcane,6.66,21.39,72.99,1277,1304.13,87,37,95
Sugarcane,7.1,25.7,74.04,384,1284.97,88,48,104
Sugarcane,6.29,29.81,76.88,1282,1378.37,100,42,116
Sugarcane,6.54,26.61,72.21,32,1271.52,106,50,116
Sugarcane,7.1,30.42,70.59,1164,1074.71,97,36,110
Sugarcane,6.8,26.84,62.87,939,1415.15,107,39,84
Sugarcane,7.33,23.97,75.63,928,1157.16,91,38,88
Sugarcane,6.68,34.26,61.12,650,1387.0,97,45,105
Sugarcane,6.87,34.97,70.14,199,1402.4,102,42,100
Sugarcane,6.02,29.35,69.93,664,1226.64,90,33,96
Sugarcane,7.16,31.22,74.81,747,1088.01,98,49,109
Sugarcane,7.22,20.13,78.59,1377,1172.89,88,38,104
Sugarcane,7.07,25.68,62.96,1172,1232.97,111,32,105
Sugarcane,6.99,27.05,77.67,150,1448.64,93,49,106
Sugarcane,6.44,24.07,66.75,1125,1436.89,91,36,85
Sugarcane,7.2,26.84,67.72,1378,1311.18,90,37,88
Sugarcane,6.39,32.85,79.18,1078,1497.03,115,40,85
Sugarcane,6.68,32.81,74.98,869,1070.95,116,47,84
Sugarcane,7.19,30.45,78.04,82,1273.4,93,42,94
Sugarcane,6.85,27.61,60.48,830,1105.69,89,48,110
Sugarcane,6.28,34.54,71.56,70,1381.82,94,44,116
Sugarcane,6.9,21.53,71.09,1162,1255.0,86,33,105
Sugarcane,6.75,20.33,61.13,277,1327.53,120,31,88
Sugarcane,6.83,31.26,71.99,1266,1302.03,94,45,109
Sugarcane,6.29,23.15,79.17,1433,1419.16,87,48,93
Sugarcane,6.81,26.1,66.49,1422,1000.62,80,45,91
Sugarcane,6.6,24.26,72.1,637,1356.57,86,36,81
Sugarcane,6.13,22.38,67.76,721,1263.13,99,37,83
Sugarcane,7.16,20.23,73.49,977,1319.68,93,49,93
Sugarcane,6.03,27.95,61.82,1338,1163.61,113,34,104
Sugarcane,6.12,31.74,62.71,273,1002.61,91,32,90
Sugarcane,6.12,28.63,66.65,1253,1022.19,105,35,117
Sugarcane,6.51,29.88,67.64,1070,1293.16,87,36,98
