Crop,pH,Temperature (°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Plums,6.16,26.49,48.77,1278,1013.62,145,25,142
Plums,6.99,14.49,58.17,931,1221.88,87,36,189
Plums,5.87,20.82,64.7,646,1207.14,120,23,200
Plums,5.93,26.39,35.96,999,1251.42,126,30,127
Plums,6.44,18.3,38.05,165,778.92,150,38,200
Plums,6.01,21.41,67.45,1252,1120.67,123,27,104
Plums,5.51,18.85,38.69,1124,614.19,107,24,150
Plums,6.48,14.67,54.75,915,755.01,97,20,88
Plums,5.8,21.46,57.57,383,1098.48,111,36,122
Plums,5.51,24.97,60.25,846,699.85,149,35,146
Plums,6.9,22.45,61.19,421,1159.93,116,32,114
Plums,6.81,12.73,68.64,171,1130.11,81,27,140
Plums,6.04,26.48,61.77,742,702.33,148,21,126
Plums,6.78,18.32,39.54,1617,676.81,117,39,181
Plums,5.93,25.04,32.85,1413,1214.35,136,30,115
Plums,6.55,13.55,50.93,1507,672.63,147,25,168
Plums,5.73,28.54,35.63,578,762.62,123,29,98
Plums,6.95,19.5,34.9,1012,663.8,150,33,117
Plums,5.64,21.84,53.05,749,899.64,89,28,119
Plums,5.95,28.61,57.46,725,712.87,125,37,145
Plums,6.16,19.0,31.1,859,705.97,131,29,114
Plums,6.25,25.81,37.72,1128,1088.71,86,27,85
Plums,6.67,14.44,51.29,1257,954.08,95,34,174
Plums,5.65,15.94,36.2,893,1115.97,90,27,99
Plums,6.52,16.02,68.9,1304,938.94,90,23,110
Plums,6.87,13.38,36.57,1266,791.3,109,37,126
Plums,6.94,17.15,58.57,74,1094.67,106,21,154
Plums,6.11,27.82,40.27,327,1222.4,96,31,94
Plums,5.86,28.69,63.51,557,851.79,131,23,81
Plums,5.79,13.77,69.27,634,1272.84,83,20,192
Plums,5.68,17.71,52.15,410,1072.66,105,20,111
Plums,6.51,28.24,43.81,1685,847.86,129,33,187
Plums,6.53,12.93,58.83,1231,956.09,93,30,120
Plums,6.8,15.92,69.33,1017,1045.29,101,24,186
Plums,6.12,28.98,49.54,936,1028.88,112,38,101
Plums,6.32,12.34,69.15,1108,732.84,130,40,90
Plums,6.15,28.18,30.62,1684,871.27,82,26,122
Plums,6.23,27.65,54.73,1655,1161.73,85,20,179
Plums,6.05,23.51,49.03,617,1136.43,89,24,101
Plums,5.64,24.33,32.32,1691,1164.69,149,23,174
Plums,5.74,27.8,46.19,400,648.47,112,23,84
Plums,6.45,24.61,44.3,254,1111.8,136,27,178
Plums,6.98,20.61,54.32,1226,802.49,108,33,199
Plums,5.86,27.7,31.02,233,703.93,148,39,159
Plums,6.79,12.8,57.63,1584,1279.08,96,24,115
Plums,5.63,14.27,31.84,854,952.03,81,21,91
Plums,5.8,15.75,43.66,444,942.37,92,33,127
Plums,6.75,25.88,51.51,461,748.18,89,28,83
Plums,6.54,16.44,49.76,203,866.75,99,23,85
Plums,5.54,22.98,66.4,559,1162.79,137,33,99
Plums,6.01,28.1,43.36,1030,928.74,125,23,178
Plums,6.33,27.7,30.65,332,712.28,137,37,179
Plums,6.4,18.36,54.66,1178,1189.25,143,25,127
Plums,6.9,19.65,36.93,366,951.68,84,40,148
Plums,5.9,24.98,47.97,783,999.4,107,27,144
Plums,5.54,27.29,64.82,644,1274.78,136,32,175
Plums,5.75,21.01,36.68,464,813.05,117,31,83
Plums,5.55,23.49,38.02,1247,849.79,84,35,130
Plums,6.92,12.87,69.83,112,919.63,111,38,112
Plums,6.96,26.87,42.21,479,674.01,148,37,143
Plums,5.83,17.02,42.81,1195,912.98,131,33,150
Plums,6.66,18.09,46.66,532,729.53,128,27,101
Plums,6.28,25.78,69.09,1481,807.99,96,37,119
Plums,6.02,21.28,38.95,1546,1183.19,106,39,188
Plums,6.38,15.22,67.95,822,882.72,137,39,139
Plums,6.31,17.04,31.98,1433,1166.95,129,38,120
Plums,6.47,23.05,56.84,157,786.9,83,36,101
Plums,6.92,14.57,64.69,1130,695.87,140,36,133
Plums,6.7,23.28,56.59,1286,1164.7,127,34,124
Plums,6.2,25.59,33.63,727,892.59,117,35,198
Plums,5.82,22.22,61.13,1208,869.31,137,21,143
Plums,6.6,26.94,69.1,1561,927.26,143,20,139
Plums,5.64,19.56,54.07,1137,896.6,148,32,165
Plums,5.86,15.32,68.34,158,764.86,146,28,135
Plums,6.03,20.89,57.97,1609,1042.99,80,26,190
Plums,6.4,28.05,40.16,1107,1007.49,149,28,124
Plums,6.73,27.71,46.63,648,687.7,128,29,138
Plums,6.7,27.41,36.94,521,924.54,124,39,81
Plums,5.7,15.25,42.51,613,1181.8,113,20,190
Plums,6.05,17.08,39.47,1562,1018.93,95,40,148
Plums,6.87,18.62,67.03,169,822.4,113,21,115
Plums,6.53,24.03,58.62,1193,1027.28,144,38,150
Plums,6.1,17.11,68.45,626,1093.35,147,31,132
Plums,6.77,25.16,30.56,1346,1181.47,134,28,102
Plums,6.28,21.92,47.74,1641,652.93,83,34,133
Plums,6.78,14.12,31.03,1043,1270.87,118,37,122
Plums,6.68,28.01,39.04,1316,866.27,84,31,138
Plums,6.22,20.25,37.98,736,656.29,143,21,157
Plums,6.22,20.2,51.75,673,812.49,108,21,156
Plums,6.89,28.81,61.03,127,922.91,147,40,183
Plums,6.51,15.3,30.95,1440,1218.07,132,21,86
Plums,6.06,25.1,34.12,1297,852.13,145,26,131
Plums,6.97,17.68,54.4,1191,870.46,87,29,135
Plums,6.8,25.1,69.85,1428,704.09,136,33,196
Plums,5.61,22.91,41.62,1334,1111.62,106,28,83
Plums,6.0,22.67,38.33,508,1187.25,84,36,129
Plums,6.04,17.85,44.78,1257,1176.78,125,29,125
Plums,6.72,20.59,58.6,462,1074.06,112,37,115
Plums,5.97,21.14,36.18,911,682.48,107,24,137
Plums,6.37,27.68,64.82,240,1110.15,96,22,197
Plums,5.88,19.51,58.99,990,1099.39,144,20,88
Plums,6.14,12.4,44.07,1576,1099.1,103,37,175
Plums,6.66,19.82,45.4,1285,1007.04,109,30,142
