Crop,pH,Temperature (Â°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Jujube (Chinese Date),6.53,30.51,31.67,182,631.73,60,29,118
Jujube (Chinese Date),6.54,27.17,44.28,382,542.74,69,24,92
Jujube (Chinese Date),6.84,28.67,42.65,222,775.68,80,22,112
Jujube (Chinese Date),6.42,27.57,34.06,245,578.21,73,29,106
Jujube (Chinese Date),6.05,22.79,47.45,850,713.95,97,39,103
Jujube (Chinese Date),7.24,31.25,40.76,482,502.17,54,32,106
Jujube (Chinese Date),7.37,23.61,49.38,825,552.08,64,30,112
Jujube (Chinese Date),6.55,17.96,38.37,441,538.39,56,25,103
Jujube (Chinese Date),6.79,16.86,34.81,453,579.0,72,34,80
Jujube (Chinese Date),6.87,25.47,49.24,92,330.76,69,37,97
Jujube (Chinese Date),6.13,20.06,49.3,936,346.96,61,26,97
Jujube (Chinese Date),6.92,31.47,42.59,938,357.98,85,34,109
Jujube (Chinese Date),6.07,25.17,51.45,69,564.21,72,23,87
Jujube (Chinese Date),6.65,22.11,30.0,133,584.1,91,27,113
Jujube (Chinese Date),7.07,27.32,55.15,849,694.48,52,38,82
Jujube (Chinese Date),6.03,21.86,30.93,995,429.41,55,32,113
Jujube (Chinese Date),6.45,29.06,38.32,829,451.3,42,33,105
Jujube (Chinese Date),6.72,26.48,54.47,610,567.66,99,32,116
Jujube (Chinese Date),7.14,22.37,41.51,922,644.93,119,20,108
Jujube (Chinese Date),6.59,16.08,43.41,433,756.34,118,30,119
Jujube (Chinese Date),6.34,23.95,47.26,381,736.18,65,24,102
Jujube (Chinese Date),6.77,28.69,41.85,810,765.14,97,38,118
Jujube (Chinese Date),6.44,28.37,58.45,819,750.22,113,20,101
Jujube (Chinese Date),6.53,27.41,56.12,105,703.7,61,39,113
Jujube (Chinese Date),7.17,26.11,59.55,621,303.56,81,31,119
Jujube (Chinese Date),6.36,17.14,34.41,352,391.12,51,33,84
Jujube (Chinese Date),6.75,23.84,56.91,913,344.17,89,39,112
Jujube (Chinese Date),6.81,24.58,53.36,597,433.84,98,20,108
Jujube (Chinese Date),6.41,17.41,43.87,225,469.32,86,40,89
Jujube (Chinese Date),6.8,27.86,59.19,455,303.2,119,33,84
Jujube (Chinese Date),6.76,31.66,55.73,682,670.85,102,27,99
Jujube (Chinese Date),7.08,23.84,53.02,458,632.61,86,20,95
Jujube (Chinese Date),6.16,15.52,59.16,335,510.54,112,28,114
Jujube (Chinese Date),6.06,18.34,42.27,916,515.0,52,36,90
Jujube (Chinese Date),6.91,17.41,47.04,67,738.76,108,20,109
Jujube (Chinese Date),7.11,30.44,34.15,681,693.73,80,32,87
Jujube (Chinese Date),7.09,22.49,54.91,589,696.12,52,38,89
Jujube (Chinese Date),6.62,28.63,45.09,513,474.71,61,34,103
Jujube (Chinese Date),6.4,16.23,51.35,562,432.98,115,33,110
Jujube (Chinese Date),7.35,27.96,40.41,943,576.98,96,37,83
Jujube (Chinese Date),6.13,27.86,37.37,340,421.46,108,40,104
Jujube (Chinese Date),6.25,17.03,39.6,309,437.63,55,23,120
Jujube (Chinese Date),7.36,22.42,30.43,535,765.08,74,27,86
Jujube (Chinese Date),6.06,31.16,34.32,485,538.58,95,32,109
Jujube (Chinese Date),7.36,24.06,42.93,175,423.83,102,24,88
Jujube (Chinese Date),6.48,16.74,40.33,462,712.04,116,35,106
Jujube (Chinese Date),7.43,21.92,49.13,138,563.94,56,27,96
Jujube (Chinese Date),7.02,28.44,36.47,694,667.36,65,29,97
Jujube (Chinese Date),6.38,15.16,57.49,454,657.74,74,20,84
Jujube (Chinese Date),6.82,27.35,41.41,829,607.65,53,40,98
Jujube (Chinese Date),6.41,23.13,57.94,426,559.35,85,30,114
Jujube (Chinese Date),6.01,21.71,38.64,776,352.39,99,28,93
Jujube (Chinese Date),7.29,29.55,54.23,721,393.13,84,24,107
Jujube (Chinese Date),6.47,18.39,56.73,862,559.97,98,39,118
Jujube (Chinese Date),6.8,28.15,35.29,596,566.03,108,39,111
Jujube (Chinese Date),7.19,21.48,43.53,798,799.73,71,37,116
Jujube (Chinese Date),6.03,18.73,35.66,154,632.04,109,25,80
Jujube (Chinese Date),6.88,21.99,54.87,954,346.82,79,36,114
Jujube (Chinese Date),6.64,24.82,42.83,115,380.89,102,37,105
Jujube (Chinese Date),6.72,31.79,49.74,935,679.99,66,26,89
Jujube (Chinese Date),6.69,16.87,47.08,987,774.99,52,30,81
Jujube (Chinese Date),6.96,15.15,49.01,387,521.51,71,40,119
Jujube (Chinese Date),6.46,28.43,38.43,451,328.2,118,33,107
Jujube (Chinese Date),6.39,25.83,38.17,818,764.68,56,26,89
Jujube (Chinese Date),7.0,16.23,59.19,965,593.85,87,22,89
Jujube (Chinese Date),6.48,26.61,53.43,933,616.03,85,39,91
Jujube (Chinese Date),6.22,22.31,52.8,109,732.12,91,26,80
Jujube (Chinese Date),6.82,31.77,38.19,685,557.79,114,31,95
Jujube (Chinese Date),6.49,25.03,45.6,482,321.72,72,33,116
Jujube (Chinese Date),6.26,18.27,43.93,998,559.37,69,34,93
Jujube (Chinese Date),7.21,31.46,50.52,216,721.8,94,26,94
Jujube (Chinese Date),6.89,30.24,37.09,953,514.22,65,20,100
Jujube (Chinese Date),6.11,20.12,48.76,188,458.12,50,23,86
Jujube (Chinese Date),7.2,15.39,54.21,479,689.19,114,33,114
Jujube (Chinese Date),6.86,25.56,40.61,195,702.61,116,27,100
Jujube (Chinese Date),6.69,27.31,57.12,351,505.67,92,30,86
Jujube (Chinese Date),6.78,23.44,32.41,214,658.25,62,37,90
Jujube (Chinese Date),6.51,30.53,32.77,179,322.95,43,35,89
Jujube (Chinese Date),7.15,23.2,53.38,664,615.84,64,22,118
Jujube (Chinese Date),6.8,25.2,50.76,438,749.38,68,33,106
Jujube (Chinese Date),6.97,27.68,53.55,574,460.02,60,23,80
Jujube (Chinese Date),7.0,19.33,59.24,502,639.57,45,39,109
Jujube (Chinese Date),6.71,31.16,38.85,379,648.17,50,23,100
Jujube (Chinese Date),6.7,27.09,39.23,567,690.37,43,20,102
Jujube (Chinese Date),7.47,28.55,57.47,827,692.01,61,24,114
Jujube (Chinese Date),6.92,20.75,54.47,818,342.17,113,34,81
Jujube (Chinese Date),6.52,28.7,46.81,973,436.19,68,34,101
Jujube (Chinese Date),7.22,17.55,53.75,469,785.82,72,37,105
Jujube (Chinese Date),7.23,30.01,40.5,548,345.87,77,20,92
Jujube (Chinese Date),7.46,25.22,51.36,485,742.59,59,21,111
Jujube (Chinese Date),6.78,16.24,58.94,708,517.54,112,28,97
Jujube (Chinese Date),7.5,15.29,41.77,149,362.51,78,21,109
Jujube (Chinese Date),6.59,15.57,32.57,702,492.65,47,29,83
Jujube (Chinese Date),7.4,23.21,46.01,619,332.98,79,29,119
Jujube (Chinese Date),6.58,20.89,48.18,918,624.48,111,21,117
Jujube (Chinese Date),6.91,29.08,33.01,699,411.88,100,21,100
Jujube (Chinese Date),7.3,23.54,45.96,849,681.86,45,25,85
Jujube (Chinese Date),7.27,16.71,31.11,682,563.82,103,35,91
Jujube (Chinese Date),7.15,15.45,36.38,360,475.58,94,29,106
Jujube (Chinese Date),7.48,27.62,54.81,451,324.55,82,30,107
Jujube (Chinese Date),7.26,28.69,32.16,299,417.57,107,37,93
Jujube (Chinese Date),6.18,15.99,33.09,427,765.64,57,35,106
Jujube (Chinese Date),6.72,20.63,39.17,649,787.12,54,29,84
Jujube (Chinese Date),6.84,18.51,51.59,456,325.84,96,34,98
Jujube (Chinese Date),6.41,30.67,55.23,365,569.96,65,37,99
Jujube (Chinese Date),7.04,21.56,44.42,908,409.18,109,37,89
Jujube (Chinese Date),6.88,27.44,45.81,679,437.73,82,34,113
Jujube (Chinese Date),6.27,17.95,56.94,262,663.8,41,35,89
Jujube (Chinese Date),6.89,27.2,32.85,476,614.8,119,38,80
Jujube (Chinese Date),6.98,18.54,53.97,499,510.81,93,30,112
Jujube (Chinese Date),7.24,22.06,48.86,486,682.49,117,32,112
Jujube (Chinese Date),6.85,27.08,35.63,833,668.18,78,23,92
Jujube (Chinese Date),6.22,25.69,30.71,264,314.96,117,24,96
Jujube (Chinese Date),7.35,22.12,41.16,654,725.54,45,38,119
Jujube (Chinese Date),6.28,22.97,53.78,695,767.26,85,25,106
Jujube (Chinese Date),6.0,25.21,56.99,142,746.82,117,36,111
Jujube (Chinese Date),6.59,28.41,55.78,674,695.83,89,24,96
Jujube (Chinese Date),6.15,27.46,45.71,227,560.63,71,40,80
Jujube (Chinese Date),6.94,31.12,56.42,653,545.66,82,26,84
Jujube (Chinese Date),7.34,18.65,33.05,933,583.21,59,29,94
Jujube (Chinese Date),6.14,22.25,37.26,131,759.2,99,39,116
Jujube (Chinese Date),6.6,26.38,43.4,60,338.33,110,36,84
Jujube (Chinese Date),7.11,23.03,41.93,242,404.12,52,34,107
Jujube (Chinese Date),6.01,16.34,49.41,183,778.44,120,20,99
Jujube (Chinese Date),7.31,26.64,44.08,118,560.5,102,27,88
Jujube (Chinese Date),6.29,25.69,37.2,654,459.97,119,31,84
Jujube (Chinese Date),7.4,15.78,42.64,105,549.26,113,29,109
Jujube (Chinese Date),6.54,16.87,49.44,527,473.99,78,38,81
Jujube (Chinese Date),7.25,17.07,41.03,136,321.1,44,37,119
Jujube (Chinese Date),7.36,21.55,38.95,304,310.81,76,21,114
Jujube (Chinese Date),6.2,27.72,41.6,189,790.74,74,22,104
Jujube (Chinese Date),7.23,17.76,46.45,721,538.4,72,23,85
Jujube (Chinese Date),6.11,21.81,41.41,367,309.81,55,29,89
Jujube (Chinese Date),6.4,29.27,31.34,287,712.79,84,29,81
Jujube (Chinese Date),6.3,20.25,50.14,572,794.06,112,30,93
Jujube (Chinese Date),6.3,21.0,55.31,656,505.95,41,31,92
Jujube (Chinese Date),6.58,23.38,52.22,914,729.86,47,33,82
Jujube (Chinese Date),7.39,16.08,39.92,674,655.18,52,37,87
Jujube (Chinese Date),7.22,15.65,51.68,194,553.98,84,30,81
Jujube (Chinese Date),6.23,27.76,35.63,662,579.79,51,33,91
Jujube (Chinese Date),6.42,25.84,55.65,532,611.82,87,26,86
Jujube (Chinese Date),7.44,24.92,38.79,285,701.58,49,32,96
Jujube (Chinese Date),6.24,24.77,31.71,419,426.05,62,26,101
Jujube (Chinese Date),6.43,20.35,55.91,749,446.83,64,40,92
Jujube (Chinese Date),6.2,27.65,54.46,747,567.73,86,30,116
Jujube (Chinese Date),7.18,23.87,39.97,540,316.83,86,26,117
Jujube (Chinese Date),6.05,21.03,58.11,529,724.13,52,34,94
Jujube (Chinese Date),6.19,31.12,45.45,730,767.8,51,28,102
Jujube (Chinese Date),6.52,31.54,36.32,228,346.89,68,23,119
Jujube (Chinese Date),6.21,28.88,30.22,690,592.27,78,40,96
Jujube (Chinese Date),6.77,21.39,30.96,258,685.31,60,29,84
Jujube (Chinese Date),6.1,19.26,56.4,525,725.13,45,40,86
Jujube (Chinese Date),6.38,23.47,44.49,722,322.39,61,30,89
Jujube (Chinese Date),6.29,15.27,54.26,644,545.61,94,23,120
Jujube (Chinese Date),6.15,28.16,40.15,861,539.36,109,35,90
Jujube (Chinese Date),6.12,25.45,43.03,959,444.21,83,26,80
Jujube (Chinese Date),6.22,26.22,37.16,127,758.07,58,32,105
Jujube (Chinese Date),6.74,15.5,31.82,123,540.54,62,32,104
Jujube (Chinese Date),6.26,30.59,52.87,896,435.53,89,36,92
Jujube (Chinese Date),7.17,26.85,59.96,739,358.22,111,40,95
Jujube (Chinese Date),6.97,30.23,47.48,200,322.15,48,23,93
Jujube (Chinese Date),6.84,20.57,38.69,839,730.85,64,34,114
Jujube (Chinese Date),6.11,26.49,38.49,848,798.03,73,23,103
Jujube (Chinese Date),6.06,28.21,48.75,987,593.6,50,23,99
Jujube (Chinese Date),7.03,16.54,37.94,404,515.74,53,29,98
Jujube (Chinese Date),6.35,23.52,49.48,363,490.49,62,38,81
Jujube (Chinese Date),7.31,28.47,58.67,260,569.74,64,24,83
Jujube (Chinese Date),6.92,26.37,51.68,575,519.33,107,30,120
Jujube (Chinese Date),6.83,27.76,32.5,147,718.32,46,35,84
Jujube (Chinese Date),7.39,20.24,40.52,573,380.54,42,32,118
Jujube (Chinese Date),7.48,27.48,36.59,766,584.73,52,36,105
Jujube (Chinese Date),6.66,27.96,51.05,312,336.82,114,34,90
Jujube (Chinese Date),7.13,17.81,48.87,464,388.51,66,22,97
Jujube (Chinese Date),6.92,26.27,33.07,542,398.85,67,26,85
Jujube (Chinese Date),6.11,28.95,38.07,606,347.05,64,40,85
Jujube (Chinese Date),7.23,27.82,50.58,690,437.2,46,24,84
Jujube (Chinese Date),6.7,21.62,44.57,752,485.24,96,27,87
Jujube (Chinese Date),6.6,23.52,37.31,746,457.25,74,25,97
Jujube (Chinese Date),6.06,28.67,40.73,149,455.42,66,22,102
Jujube (Chinese Date),7.41,27.45,58.22,935,394.27,89,36,114
Jujube (Chinese Date),7.08,17.49,57.65,689,480.34,77,27,103
Jujube (Chinese Date),6.93,19.19,39.98,912,539.33,67,31,117
Jujube (Chinese Date),7.46,27.11,34.49,273,421.5,93,29,88
Jujube (Chinese Date),7.05,31.25,39.92,652,584.68,73,21,111
Jujube (Chinese Date),6.52,29.77,34.65,788,668.43,111,20,104
Jujube (Chinese Date),6.6,23.66,44.24,690,552.91,64,36,101
Jujube (Chinese Date),7.03,20.56,35.32,309,759.84,45,40,93
Jujube (Chinese Date),6.26,18.54,33.89,806,600.03,108,34,112
Jujube (Chinese Date),7.03,27.5,55.82,707,381.28,49,33,108
Jujube (Chinese Date),7.12,18.42,40.68,419,478.04,50,28,104
Jujube (Chinese Date),6.33,23.09,52.83,706,780.9,69,36,103
Jujube (Chinese Date),6.33,31.93,59.72,601,535.37,65,39,117
Jujube (Chinese Date),6.29,16.55,43.09,148,618.47,84,33,109
Jujube (Chinese Date),6.97,27.71,33.81,885,764.79,59,28,81
Jujube (Chinese Date),6.7,26.18,47.57,627,367.3,44,37,81
Jujube (Chinese Date),6.37,24.75,40.77,933,645.44,106,25,108
Jujube (Chinese Date),6.92,15.16,39.05,377,636.35,101,32,111
Jujube (Chinese Date),6.2,29.03,34.66,147,608.73,55,38,105
Jujube (Chinese Date),6.04,31.89,42.98,901,429.94,62,33,97
Jujube (Chinese Date),6.6,16.98,33.42,967,399.49,98,32,101
