Crop,pH,Temperature (Â°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Potato,6.25,20.42,76.93,84,509.77,117,40,101
Potato,6.32,21.77,79.11,1421,527.08,120,24,109
Potato,5.21,22.82,77.56,510,473.78,118,39,114
Potato,5.71,24.37,72.89,599,541.32,104,27,134
Potato,6.12,16.65,78.23,363,414.92,115,26,145
Potato,5.75,16.81,79.5,773,428.52,132,30,117
Potato,5.98,19.51,71.78,1215,523.37,110,23,128
Potato,5.27,22.57,74.52,201,409.88,118,31,124
Potato,5.07,17.03,77.03,1148,506.97,111,40,132
Potato,6.35,20.35,74.07,702,532.77,136,38,135
Potato,5.16,19.37,77.57,430,427.49,129,22,127
Potato,6.32,15.43,77.66,1010,406.07,128,36,147
Potato,5.1,22.1,70.59,1302,402.35,109,36,102
Potato,5.13,16.89,77.76,341,502.96,113,29,101
Potato,5.89,18.09,73.81,146,474.12,124,38,145
Potato,5.85,15.82,72.96,1476,566.96,104,26,147
Potato,5.55,17.84,79.75,1174,460.85,143,39,103
Potato,6.3,21.11,72.32,570,596.07,115,22,132
Potato,5.46,21.68,74.39,1476,532.26,101,38,114
Potato,5.56,19.77,79.8,1362,503.57,146,24,121
Potato,6.23,22.76,72.8,973,433.79,119,26,121
Potato,6.29,19.75,79.4,474,496.48,107,31,148
Potato,5.31,15.48,76.74,406,583.38,148,22,138
Potato,5.64,18.48,73.17,1039,403.88,116,37,111
Potato,5.02,15.15,73.52,1402,498.45,146,29,130
Potato,5.3,17.84,79.96,493,579.49,102,38,103
Potato,5.42,20.43,70.11,1319,552.83,113,22,121
Potato,5.22,19.38,74.66,1106,545.18,142,27,123
Potato,5.42,24.97,79.62,811,550.4,121,30,114
Potato,6.26,17.2,77.71,628,516.32,118,20,118
Potato,5.82,24.74,73.44,151,502.84,110,33,109
Potato,6.27,17.05,71.72,1349,511.48,105,30,131
Potato,5.14,17.21,77.76,1471,490.95,131,29,132
Potato,5.94,20.31,76.27,1156,535.11,107,36,138
Potato,5.6,17.18,77.98,1311,546.93,118,29,105
Potato,5.0,24.26,78.61,602,430.52,105,24,101
Potato,5.76,21.3,74.71,1117,434.45,129,36,122
Potato,5.67,22.14,77.07,446,522.83,100,21,118
Potato,6.01,18.87,74.62,561,468.45,132,34,106
Potato,6.28,17.41,73.07,1197,530.55,116,32,135
Potato,6.15,22.89,75.92,208,589.43,131,31,133
Potato,5.71,15.99,72.22,479,475.74,137,31,115
Potato,6.37,21.84,75.75,1103,599.99,141,29,111
Potato,5.51,17.81,76.3,915,421.75,105,31,118
Potato,5.62,21.56,73.89,1274,518.43,135,40,132
Potato,6.18,24.99,74.83,582,456.01,138,33,118
Potato,5.45,24.74,74.99,410,477.0,131,24,145
Potato,5.39,19.15,70.64,115,510.46,143,31,117
