Crop,pH,Temperature (Â°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Elderberries,6.71,12.35,44.99,643,704.07,98,32,80
Elderberries,6.05,13.17,44.81,735,783.0,107,23,116
Elderberries,6.86,24.86,49.88,737,536.26,77,31,47
Elderberries,6.59,19.21,68.96,1401,727.08,67,26,110
Elderberries,5.58,19.98,53.78,1332,633.66,62,30,111
Elderberries,6.39,12.15,51.78,1317,916.42,40,27,84
Elderberries,5.71,13.99,50.11,723,691.22,113,35,118
Elderberries,5.57,13.34,50.05,224,556.85,46,28,34
Elderberries,5.9,24.59,55.64,109,842.55,110,22,33
Elderberries,5.62,24.52,56.63,90,693.03,99,22,80
Elderberries,5.96,12.11,69.44,108,705.91,106,26,63
Elderberries,6.29,21.19,40.63,453,521.38,95,27,99
Elderberries,5.82,23.9,58.87,329,799.45,52,36,54
Elderberries,5.84,20.06,60.11,336,916.85,110,37,48
Elderberries,6.88,19.07,61.32,1257,750.11,56,25,119
Elderberries,6.91,16.52,46.09,400,669.71,78,39,55
Elderberries,6.02,16.85,43.12,694,769.89,112,22,69
Elderberries,6.18,19.78,40.74,871,981.51,67,32,98
Elderberries,6.84,13.41,57.34,656,515.15,98,25,106
Elderberries,6.67,15.52,68.27,569,571.9,73,25,43
Elderberries,5.63,21.51,59.36,235,685.06,48,26,117
Elderberries,6.18,16.1,47.81,755,952.3,116,30,83
Elderberries,5.92,17.89,69.4,737,572.04,95,39,63
Elderberries,6.24,23.26,65.2,951,888.88,105,26,117
Elderberries,5.7,19.97,48.59,739,908.53,89,31,78
Elderberries,6.18,17.47,49.71,858,669.01,92,26,104
Elderberries,6.07,15.53,55.54,1170,588.78,56,22,108
Elderberries,6.32,22.86,63.54,618,561.93,47,29,55
Elderberries,6.79,21.94,53.2,323,794.33,74,22,109
Elderberries,6.69,13.42,43.21,762,910.98,74,36,37
Elderberries,6.58,22.26,61.6,1427,889.06,49,25,53
Elderberries,6.92,18.36,58.67,1319,688.62,84,34,46
Elderberries,5.65,12.99,58.19,601,553.12,118,40,98
Elderberries,5.55,12.87,57.47,1242,599.82,116,26,52
Elderberries,6.35,20.92,58.75,546,744.77,97,22,57
Elderberries,6.97,17.47,60.65,442,711.92,95,31,81
Elderberries,6.39,17.88,48.29,1191,778.98,78,35,109
Elderberries,5.86,17.86,44.43,1212,715.01,41,32,84
Elderberries,5.82,15.2,47.41,1284,826.21,53,34,42
Elderberries,6.47,12.23,44.49,1151,631.08,78,35,53
Elderberries,5.62,22.9,69.86,1352,523.21,50,28,73
Elderberries,6.0,16.34,65.34,292,793.26,58,21,111
Elderberries,5.51,13.21,49.5,1331,735.9,66,35,99
Elderberries,5.55,21.45,45.7,1049,698.82,60,26,112
Elderberries,6.93,17.19,69.85,221,888.26,103,34,120
Elderberries,6.23,22.42,56.07,1197,682.32,75,37,89
Elderberries,6.39,17.91,53.22,699,754.93,54,23,108
Elderberries,6.83,17.06,41.9,685,766.03,67,30,110
Elderberries,6.22,21.05,53.63,442,892.53,117,33,68
Elderberries,6.94,15.19,64.49,655,854.47,54,34,72
Elderberries,5.58,16.98,52.93,936,939.55,43,29,117
Elderberries,6.38,13.22,46.24,635,901.03,115,32,44
Elderberries,6.9,19.48,63.75,689,711.62,109,37,74
Elderberries,6.09,19.47,43.67,137,700.53,68,29,62
Elderberries,6.24,16.17,63.21,1484,929.95,79,22,119
Elderberries,6.98,12.29,55.29,90,985.41,107,39,58
Elderberries,5.83,21.17,61.68,676,797.62,74,27,41
Elderberries,6.52,12.49,58.49,918,683.03,98,26,106
Elderberries,6.39,15.28,42.25,1054,511.5,50,32,75
Elderberries,6.88,13.66,55.15,959,868.84,75,23,115
Elderberries,5.73,22.54,57.92,751,670.44,61,29,42
Elderberries,6.76,23.88,66.98,913,544.76,60,27,89
Elderberries,6.1,18.4,55.07,936,757.44,63,26,99
Elderberries,6.24,22.3,67.46,536,966.75,53,30,90
Elderberries,6.11,15.23,57.24,1066,809.59,116,31,107
Elderberries,6.06,22.46,47.19,1166,573.41,63,24,120
Elderberries,5.85,22.67,41.03,1251,706.63,87,21,52
Elderberries,5.52,21.01,54.24,1250,703.3,106,22,98
Elderberries,6.45,14.21,66.19,196,777.96,95,40,44
Elderberries,5.95,22.95,61.16,1336,971.22,94,36,44
Elderberries,6.61,23.77,69.83,814,630.93,51,22,43
Elderberries,6.36,14.19,45.3,262,569.02,97,39,58
Elderberries,6.38,12.18,42.71,414,907.86,90,39,56
Elderberries,5.82,17.64,51.73,559,540.3,60,24,49
Elderberries,5.85,24.4,42.78,959,608.41,65,25,73
Elderberries,6.52,14.29,53.97,824,815.59,78,40,92
Elderberries,5.74,16.65,53.44,132,866.44,107,34,83
Elderberries,6.81,19.99,42.44,647,566.77,111,34,80
