Crop,pH,Temperature (Â°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Hemp,6.87,26.57,68.68,754,675.52,98,76,104
Hemp,6.87,20.82,58.57,352,557.48,105,55,89
Hemp,6.76,15.4,60.85,1132,535.35,118,61,89
Hemp,6.47,16.57,62.93,270,511.72,84,70,114
Hemp,6.84,18.95,53.05,831,713.71,96,63,110
Hemp,6.98,20.36,56.38,109,517.55,104,77,81
Hemp,6.85,27.38,59.17,573,685.56,117,47,109
Hemp,6.71,26.24,62.55,101,685.33,85,73,97
Hemp,6.71,26.09,66.85,1299,641.58,80,43,118
Hemp,6.78,18.19,53.21,435,668.81,87,70,104
Hemp,6.43,27.79,61.03,114,623.2,116,59,118
Hemp,6.14,18.77,69.83,497,530.82,97,42,85
Hemp,6.76,29.24,59.42,666,742.37,119,75,88
Hemp,6.76,24.46,56.67,1324,771.07,101,40,106
Hemp,6.67,29.74,56.46,1250,630.31,106,58,90
Hemp,6.42,16.16,54.2,166,759.15,106,75,80
Hemp,6.09,27.86,64.42,760,640.76,96,54,96
Hemp,6.9,23.91,61.82,703,525.78,90,57,115
Hemp,6.06,17.48,59.93,423,751.84,96,54,86
Hemp,7.0,20.66,56.22,1433,664.09,99,42,109
Hemp,6.77,29.18,69.32,814,587.17,98,64,120
Hemp,6.93,19.07,63.97,462,667.65,82,69,93
Hemp,6.24,15.68,67.67,792,614.75,87,48,101
Hemp,6.27,20.67,50.18,1259,506.8,99,65,90
Hemp,6.5,23.59,56.58,1355,761.79,88,56,102
Hemp,6.79,15.01,65.15,374,686.28,90,59,100
Hemp,6.75,15.58,51.16,1152,585.88,119,71,103
Hemp,6.47,26.46,50.15,1295,671.55,95,73,112
Hemp,6.6,19.69,51.19,599,541.93,100,40,86
Hemp,6.35,22.7,50.53,678,654.67,85,77,89
Hemp,6.79,21.6,55.13,1109,776.18,88,51,98
Hemp,6.68,25.44,55.65,589,503.8,114,75,106
Hemp,6.69,21.84,50.35,185,685.98,100,54,95
Hemp,6.92,28.51,65.24,1339,631.63,87,79,88
Hemp,6.18,27.11,52.68,1471,560.18,118,77,92
Hemp,7.0,24.56,59.8,758,586.48,109,76,99
Hemp,6.75,28.75,54.41,221,705.96,101,80,105
Hemp,6.68,18.12,55.98,641,574.95,80,46,116
Hemp,6.05,25.37,66.32,313,616.62,114,65,81
Hemp,6.84,20.14,62.97,651,590.33,106,66,92
Hemp,6.61,27.63,58.56,144,626.89,88,55,112
Hemp,6.54,25.21,61.82,301,613.33,120,61,85
Hemp,6.04,23.37,55.03,462,558.09,115,74,116
Hemp,6.6,21.69,59.31,1400,714.08,119,79,107
Hemp,6.69,19.39,54.11,919,717.74,87,80,99
Hemp,6.55,25.38,67.23,913,768.23,108,62,106
Hemp,6.01,18.55,60.68,906,768.13,82,73,114
Hemp,6.12,27.55,65.33,645,603.98,117,76,113
Hemp,6.73,27.27,54.83,1177,524.55,106,80,97
