Crop,pH,Temperature (Â°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Okra,6.35,25.37,58.79,945,697.43,116,21,103
Okra,6.43,31.69,53.08,993,746.39,117,37,104
Okra,6.47,30.64,59.97,268,720.98,98,24,87
Okra,6.57,32.23,52.59,1201,682.03,104,40,98
Okra,6.55,31.89,52.69,1324,611.1,110,34,95
Okra,6.42,32.59,60.4,390,605.82,92,31,96
Okra,6.19,28.53,65.39,578,660.83,112,29,102
Okra,6.68,28.62,69.46,1421,785.15,90,26,105
Okra,6.95,25.91,68.54,726,681.37,101,35,119
Okra,6.54,29.77,64.92,217,678.84,111,31,86
Okra,6.38,33.86,64.02,64,769.05,95,37,101
Okra,6.89,29.05,62.01,326,641.96,120,32,112
Okra,6.58,26.38,57.58,186,784.37,86,23,118
Okra,6.72,25.56,62.0,132,641.63,119,20,105
Okra,6.99,29.24,61.92,1394,695.17,119,33,96
Okra,6.16,32.27,65.64,672,677.33,103,40,92
Okra,6.15,30.86,55.15,1253,762.61,107,28,81
Okra,6.4,29.4,63.09,108,726.44,105,25,97
Okra,6.37,33.93,53.34,1392,695.37,92,32,86
Okra,6.31,27.37,65.98,1346,799.18,120,30,116
Okra,6.52,33.4,59.29,997,624.49,80,23,100
Okra,6.8,30.69,55.33,1442,632.4,80,28,82
Okra,6.14,26.71,58.9,114,634.49,109,35,81
Okra,6.53,30.74,63.65,413,662.16,110,24,93
Okra,6.92,25.02,64.22,616,721.38,96,31,116
Okra,6.99,26.49,67.85,179,659.29,102,24,111
Okra,6.33,33.57,58.4,294,646.08,88,24,90
Okra,6.25,28.89,66.45,169,679.62,105,33,114
Okra,6.52,31.57,65.61,647,631.37,103,24,108
Okra,6.31,29.8,68.69,1144,613.91,104,20,109
Okra,6.8,32.79,69.58,694,647.78,112,29,80
Okra,6.45,30.55,69.25,1256,787.33,90,25,110
Okra,6.05,29.88,65.77,1232,707.06,85,24,114
Okra,6.89,34.98,68.02,1486,749.32,99,23,86
Okra,6.78,26.97,59.92,275,697.32,106,26,84
Okra,6.36,25.97,64.28,1179,612.09,119,23,89
Okra,6.09,29.47,68.68,86,640.29,113,22,82
Okra,6.83,27.79,65.54,1358,651.42,118,23,110
Okra,6.04,33.67,61.66,140,762.93,96,20,93
Okra,6.43,29.89,50.84,366,690.8,84,26,112
Okra,6.4,31.82,51.31,943,759.88,88,37,118
Okra,6.94,28.1,67.9,255,608.9,98,29,97
Okra,6.54,32.96,53.49,732,709.82,113,39,110
Okra,6.12,33.81,53.6,646,748.63,81,26,96
Okra,6.77,30.94,52.86,499,762.92,102,27,111
Okra,6.09,33.86,52.46,794,752.45,114,27,91
Okra,6.97,30.69,52.61,1344,655.24,81,24,106
Okra,6.77,30.9,63.66,487,698.15,89,33,119
Okra,6.27,25.93,55.12,272,726.42,105,40,110
Okra,6.49,25.98,56.08,250,674.46,88,28,97
Okra,6.36,34.1,58.25,887,677.9,110,32,92
Okra,6.5,28.79,56.27,780,727.21,119,20,112
Okra,6.92,31.23,54.66,523,781.41,107,22,119
Okra,6.09,34.64,61.1,1353,681.08,99,38,115
Okra,6.19,29.28,62.76,692,721.15,113,36,119
Okra,6.17,33.18,51.25,250,726.02,120,34,100
Okra,6.9,29.18,50.08,489,743.2,104,36,93
Okra,6.36,25.32,62.22,613,765.87,92,24,103
Okra,6.27,34.6,67.58,1380,778.08,109,23,96
Okra,6.21,26.32,50.95,753,617.06,99,23,94
Okra,6.86,28.2,58.47,1023,745.3,85,21,92
Okra,6.14,32.84,64.38,1014,639.4,89,25,92
Okra,6.86,25.66,55.8,134,797.06,102,27,91
Okra,6.35,28.57,52.86,517,664.18,92,35,104
Okra,6.41,27.05,64.63,1014,716.67,113,25,112
Okra,6.03,29.06,56.27,1395,687.15,103,37,83
Okra,6.45,27.85,60.45,684,640.25,87,25,118
Okra,6.5,33.38,68.46,498,608.31,110,34,111
Okra,6.57,27.8,60.2,1415,605.72,81,34,86
Okra,6.19,33.59,51.21,452,674.1,102,36,120
Okra,6.69,29.12,52.66,381,795.21,98,30,92
