Crop,pH,Temperature (°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Tea,4.8,26.09,74.24,1492,2457.21,118,37,143
Tea,5.23,23.8,74.58,1000,2295.21,118,29,111
Tea,5.05,29.92,88.24,2097,1542.99,140,29,126
Tea,5.17,21.84,83.85,1515,1578.73,136,37,146
Tea,4.78,29.36,89.27,1570,1781.32,104,24,128
Tea,4.78,19.82,75.43,1696,1905.18,119,20,144
Tea,5.22,20.23,89.18,1938,2422.57,147,26,144
Tea,4.55,23.83,78.83,2070,1744.39,124,34,104
Tea,4.5,15.61,72.71,993,1684.56,125,35,137
Tea,5.1,25.3,75.28,1772,2407.94,136,28,117
Tea,4.85,21.55,86.55,1070,1715.83,105,25,101
Tea,4.67,28.96,84.38,2006,1955.21,101,39,145
Tea,5.12,17.83,72.8,2015,1883.32,142,24,104
Tea,4.82,20.7,77.57,1304,1633.43,105,38,119
Tea,5.47,26.15,82.88,967,1583.46,139,20,103
Tea,4.53,23.35,79.12,1439,1686.81,132,28,131
Tea,4.67,18.49,81.45,2058,2078.68,150,33,134
Tea,4.91,28.78,70.86,1393,2406.75,149,29,134
Tea,4.6,24.73,74.13,736,1760.48,102,35,142
Tea,5.34,26.15,75.94,1771,1611.31,119,35,141
Tea,5.22,21.05,77.26,1258,1720.66,127,26,122
Tea,4.9,19.39,81.93,937,2282.51,119,34,150
Tea,4.57,22.39,76.42,742,2006.32,145,29,149
Tea,5.08,27.96,72.22,1311,2473.26,146,40,102
Tea,4.7,19.86,72.49,1641,2315.88,144,22,106
Tea,5.39,26.33,83.24,1483,2376.95,135,31,102
Tea,4.63,26.79,80.32,720,1741.99,117,23,127
Tea,4.8,19.8,87.0,1498,2291.33,104,33,141
Tea,5.09,22.89,78.84,1312,2334.26,150,28,130
Tea,5.05,25.93,86.53,1558,2344.46,132,39,106
Tea,5.24,21.85,75.54,1337,2150.72,131,23,133
Tea,5.24,26.79,88.73,1402,2322.68,125,36,150
Tea,4.5,29.05,89.22,2077,2033.27,110,39,128
Tea,5.11,24.19,89.73,616,2058.03,142,34,105
Tea,4.77,21.87,82.95,715,1745.24,135,22,142
Tea,4.74,22.05,75.31,1138,1773.09,122,36,124
Tea,4.95,15.54,72.28,873,1506.42,137,31,140
Tea,5.29,16.34,81.26,1372,1687.35,108,29,107
