Crop,pH,Temperature (Â°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Beetroot,7.21,21.83,53.24,531,560.93,103,59,113
Beetroot,6.29,17.89,60.44,1267,447.24,81,29,98
Beetroot,7.44,25.22,62.18,333,774.08,99,58,81
Beetroot,7.23,23.99,67.28,1316,586.13,104,55,88
Beetroot,7.16,19.67,60.99,1282,672.22,119,27,98
Beetroot,7.17,20.86,55.48,1402,667.91,94,46,102
Beetroot,6.13,20.63,60.59,1278,632.47,92,48,84
Beetroot,6.77,24.86,57.33,831,618.48,113,50,99
Beetroot,6.5,23.7,56.91,1245,477.14,95,31,118
Beetroot,6.41,25.13,65.81,64,623.42,106,54,97
Beetroot,7.07,25.92,56.23,971,509.96,82,41,119
Beetroot,6.28,23.1,57.89,1448,640.53,109,31,85
Beetroot,7.46,15.08,62.86,89,786.91,88,21,84
Beetroot,6.66,23.9,58.4,1389,523.59,92,39,99
Beetroot,7.04,21.19,43.18,1013,778.96,114,31,112
Beetroot,7.39,25.22,61.6,1040,423.73,106,44,108
Beetroot,6.33,25.29,40.91,257,728.74,83,23,100
Beetroot,6.43,20.49,66.14,1291,461.51,85,59,81
Beetroot,6.04,22.57,41.35,176,554.1,83,24,120
Beetroot,6.03,16.77,40.79,1132,719.82,96,42,111
Beetroot,6.74,20.46,50.5,836,522.22,105,50,110
Beetroot,7.31,23.01,53.16,1478,426.08,87,24,81
Beetroot,7.04,20.28,60.0,1088,647.98,113,60,92
Beetroot,6.21,18.16,65.99,1366,602.97,116,50,110
Beetroot,6.56,19.77,64.57,62,566.54,113,30,120
Beetroot,6.75,19.74,42.7,1263,646.2,85,48,87
Beetroot,6.09,17.92,42.34,816,789.64,109,35,101
Beetroot,7.42,25.31,57.46,139,461.28,96,29,96
Beetroot,6.01,15.5,68.72,723,442.97,91,22,120
Beetroot,6.33,24.54,50.7,399,447.69,93,28,98
Beetroot,6.58,17.11,63.9,563,407.13,87,46,97
Beetroot,7.26,22.54,54.74,1071,482.58,109,50,111
Beetroot,6.11,15.85,61.96,1361,691.65,112,20,109
Beetroot,7.02,22.77,59.85,534,430.13,95,30,97
Beetroot,6.3,21.89,63.34,1230,599.29,113,59,96
Beetroot,6.07,21.24,47.6,1076,592.02,90,41,108
Beetroot,7.01,24.98,54.29,369,490.6,92,45,81
Beetroot,6.45,25.18,49.74,576,456.61,92,34,100
Beetroot,6.92,17.93,53.11,188,424.59,83,45,95
Beetroot,6.71,19.68,52.04,1129,453.86,95,46,102
Beetroot,6.65,19.65,57.75,670,598.65,98,31,104
Beetroot,6.46,16.47,41.99,525,539.01,95,40,111
Beetroot,6.44,21.0,51.2,301,449.44,99,36,96
Beetroot,6.38,24.74,56.18,1053,653.73,120,34,114
Beetroot,7.24,22.39,44.56,694,459.03,92,33,97
Beetroot,7.14,23.91,48.82,182,606.01,115,39,102
Beetroot,6.65,19.56,59.88,621,495.51,97,42,116
Beetroot,6.86,21.92,43.61,1389,661.68,120,42,85
Beetroot,6.84,23.81,55.48,737,718.05,107,52,94
Beetroot,6.07,24.06,44.34,324,519.17,82,32,107
Beetroot,6.77,18.32,68.73,1463,410.09,109,42,93
Beetroot,6.99,20.45,65.17,564,427.12,92,25,111
Beetroot,6.68,20.42,61.81,333,597.96,96,39,82
Beetroot,7.46,23.35,67.3,1359,596.78,91,36,94
Beetroot,6.1,18.55,61.57,289,771.65,107,38,94
Beetroot,6.59,19.26,65.02,208,608.46,102,43,80
Beetroot,6.87,23.93,48.72,255,428.25,111,32,113
Beetroot,7.05,15.86,63.3,299,563.26,120,41,106
Beetroot,6.96,25.46,65.54,1208,738.52,80,59,97
Beetroot,6.57,18.79,58.11,544,637.94,91,52,90
Beetroot,6.67,19.86,53.24,1340,764.92,85,41,92
Beetroot,7.26,16.02,50.82,704,685.5,96,54,100
Beetroot,6.34,19.25,58.01,793,528.72,117,49,114
Beetroot,6.27,25.5,52.96,746,467.21,81,39,90
Beetroot,6.92,25.95,51.19,325,453.61,120,26,92
Beetroot,6.38,21.75,44.62,429,572.0,112,44,110
Beetroot,7.45,20.77,69.31,819,610.63,98,40,80
Beetroot,7.27,22.84,63.6,1342,713.73,114,52,98
Beetroot,7.46,20.9,67.57,977,467.91,81,20,117
Beetroot,6.71,22.32,51.24,224,764.28,93,58,89
Beetroot,6.18,15.82,43.88,1406,798.44,84,36,109
Beetroot,6.17,16.25,62.98,884,565.21,87,32,94
Beetroot,7.47,24.45,41.19,1027,403.04,96,23,111
Beetroot,7.46,18.12,51.99,1262,539.51,118,58,83
Beetroot,6.3,15.9,64.23,1326,729.22,107,30,102
Beetroot,7.15,16.96,44.25,905,719.27,85,59,108
Beetroot,6.38,20.02,49.39,573,673.16,88,45,81
Beetroot,7.06,22.85,52.47,903,723.99,87,28,119
Beetroot,6.16,24.6,62.96,641,764.47,109,58,110
Beetroot,6.61,21.06,60.6,851,679.92,80,34,107
Beetroot,6.94,24.49,58.32,1096,609.35,97,28,98
Beetroot,7.44,20.44,69.23,781,557.08,113,59,118
Beetroot,7.2,25.2,67.98,961,673.76,120,27,105
Beetroot,6.99,25.52,58.48,1351,650.35,96,53,92
Beetroot,6.81,24.57,59.71,111,466.54,97,54,91
Beetroot,6.96,15.03,60.32,541,734.38,94,21,112
Beetroot,6.09,20.28,40.66,293,707.59,120,51,82
Beetroot,7.11,16.96,69.6,911,575.0,104,38,120
Beetroot,6.65,25.17,57.41,959,466.97,107,44,93
Beetroot,6.9,15.3,58.23,1146,433.52,105,57,113
Beetroot,7.28,24.52,41.79,942,679.16,111,56,91
Beetroot,6.83,15.06,44.01,364,701.99,97,51,113
Beetroot,7.22,22.78,59.61,894,676.77,89,20,91
Beetroot,6.17,24.9,68.23,468,431.15,93,48,86
Beetroot,7.36,19.66,66.47,1292,619.22,119,22,106
Beetroot,6.22,16.17,50.32,411,563.2,116,57,96
Beetroot,6.6,18.88,44.79,61,446.79,84,28,114
Beetroot,6.31,18.92,42.35,1032,410.52,89,53,100
Beetroot,6.77,19.52,63.21,1163,468.54,83,20,87
Beetroot,7.27,23.77,47.26,238,707.94,103,59,91
Beetroot,6.25,23.46,49.78,1258,718.86,87,22,108
Beetroot,6.45,23.3,50.38,401,743.2,83,42,92
Beetroot,7.08,21.95,65.35,1015,441.93,86,50,95
Beetroot,7.04,21.7,66.35,1166,433.38,111,37,92
Beetroot,7.27,21.93,49.8,875,743.4,107,33,90
Beetroot,7.18,18.44,68.34,148,575.48,86,48,95
Beetroot,7.37,24.04,64.61,1407,467.18,91,40,118
Beetroot,6.58,21.5,67.47,342,423.9,100,50,103
Beetroot,6.07,15.49,52.47,209,473.91,80,31,98
Beetroot,7.37,16.59,41.1,1433,795.5,117,33,102
Beetroot,6.94,25.16,46.52,402,740.23,112,46,117
Beetroot,7.12,25.4,53.15,136,713.91,94,24,82
Beetroot,6.23,19.2,63.07,1303,478.82,108,43,83
Beetroot,7.4,18.38,53.99,865,671.78,96,25,99
Beetroot,7.33,22.75,59.02,1217,752.67,120,26,106
Beetroot,6.13,23.28,42.41,1278,572.04,89,33,106
Beetroot,7.27,21.49,46.89,707,558.57,81,23,84
Beetroot,7.42,22.1,53.89,375,781.64,86,57,106
Beetroot,7.46,15.94,49.25,513,619.85,82,50,99
Beetroot,7.44,21.9,54.43,1072,447.03,80,45,99
Beetroot,6.62,20.45,42.36,754,736.94,105,20,113
Beetroot,6.73,15.04,61.46,1343,600.76,104,56,115
Beetroot,6.99,22.07,41.16,1410,480.45,98,30,100
Beetroot,6.99,24.07,68.62,645,466.03,102,58,108
Beetroot,6.34,18.18,53.37,409,592.71,86,50,111
Beetroot,6.92,18.67,47.7,928,624.45,87,29,100
Beetroot,6.66,20.63,51.24,401,533.97,86,34,106
Beetroot,6.97,16.17,64.72,640,795.09,97,22,90
Beetroot,7.45,23.27,45.4,619,716.7,92,36,101
Beetroot,6.51,24.93,66.66,1357,640.36,120,37,118
Beetroot,7.03,18.84,59.64,746,651.05,81,39,111
Beetroot,6.79,25.56,56.38,897,763.36,106,26,88
Beetroot,6.83,17.1,63.12,883,679.5,100,21,112
Beetroot,6.64,23.57,50.99,444,523.3,104,39,99
Beetroot,6.19,22.23,62.09,1366,430.25,101,41,98
Beetroot,6.83,23.51,66.62,1320,675.01,117,30,110
Beetroot,6.25,22.29,48.53,487,739.67,116,46,95
Beetroot,6.4,20.75,64.93,1390,727.84,85,22,107
Beetroot,6.27,16.8,67.26,872,693.73,93,50,93
Beetroot,6.97,16.27,59.27,580,478.64,87,51,95
Beetroot,7.0,15.32,68.74,593,578.74,114,44,86
Beetroot,6.99,19.63,51.26,955,524.62,93,45,96
Beetroot,6.89,24.9,64.38,792,626.27,84,46,99
Beetroot,7.44,16.49,48.34,824,746.41,94,29,91
Beetroot,7.15,15.56,51.67,1213,717.73,91,50,88
Beetroot,7.1,21.41,50.95,918,785.34,108,35,116
Beetroot,6.66,19.83,47.84,1407,446.27,120,38,108
Beetroot,7.31,23.09,62.4,647,660.19,114,40,84
Beetroot,6.52,16.67,65.85,287,580.66,106,43,115
Beetroot,7.36,17.69,59.36,1259,623.09,106,36,99
Beetroot,6.03,24.66,62.58,329,529.89,84,54,84
Beetroot,7.08,17.49,43.34,1130,684.41,82,38,104
Beetroot,6.29,24.23,59.48,726,771.13,96,34,115
Beetroot,6.67,15.45,40.52,831,421.46,109,42,114
Beetroot,6.44,25.55,48.23,559,613.38,100,31,90
Beetroot,7.27,22.75,43.86,1422,784.08,108,48,89
Beetroot,6.43,20.0,61.5,1075,778.9,114,28,117
Beetroot,6.05,25.22,68.63,345,454.77,118,49,90
Beetroot,6.29,18.5,41.73,1189,791.95,93,50,113
Beetroot,7.15,16.07,56.23,591,685.07,114,57,113
Beetroot,7.22,21.96,47.99,1290,529.19,97,44,83
Beetroot,7.32,24.17,65.23,625,705.37,119,39,89
Beetroot,7.39,15.15,52.32,770,493.63,100,24,86
Beetroot,7.4,19.1,63.18,598,562.03,118,50,103
Beetroot,6.14,18.66,68.95,1138,670.64,81,45,115
Beetroot,6.92,23.42,60.62,111,605.64,118,22,119
Beetroot,7.24,21.63,44.1,897,690.54,81,48,96
Beetroot,6.85,18.44,49.28,485,765.41,83,37,99
Beetroot,6.82,16.54,68.78,522,566.46,92,21,112
Beetroot,7.1,19.11,46.98,1358,712.44,110,59,111
Beetroot,6.7,17.13,66.24,1287,595.42,99,58,119
Beetroot,6.45,15.23,55.82,96,537.74,93,46,104
Beetroot,7.04,23.7,69.26,955,706.44,115,37,90
Beetroot,6.9,20.45,68.87,1409,761.24,87,47,99
Beetroot,6.1,22.4,47.98,628,730.94,98,41,96
Beetroot,6.7,24.63,66.0,1100,406.44,100,51,99
Beetroot,6.73,18.65,65.44,437,740.48,80,27,110
Beetroot,6.63,16.5,55.68,96,767.74,82,23,118
Beetroot,6.08,19.87,43.86,554,533.18,113,42,97
Beetroot,6.91,19.49,51.21,1002,571.37,119,56,116
Beetroot,6.82,17.36,48.82,880,526.94,116,48,82
Beetroot,7.15,22.6,68.74,1189,545.63,118,51,86
Beetroot,6.9,24.02,52.75,771,456.57,87,43,119
Beetroot,6.75,25.01,57.82,1161,401.16,92,46,80
Beetroot,6.66,16.09,65.54,829,582.03,108,46,85
Beetroot,6.87,19.1,51.73,632,700.01,94,47,85
Beetroot,6.9,17.4,59.67,238,523.51,108,38,110
Beetroot,7.21,15.95,48.37,246,579.94,80,40,93
Beetroot,6.12,22.87,66.01,1242,604.54,111,23,116
Beetroot,6.31,18.27,64.6,882,509.11,83,44,84
Beetroot,7.19,23.78,57.15,1247,525.42,118,52,107
Beetroot,6.87,17.83,67.92,133,705.59,100,57,115
Beetroot,6.79,21.61,61.15,1104,718.91,88,28,113
Beetroot,6.94,23.83,57.48,815,507.56,84,51,96
Beetroot,7.48,17.55,62.75,242,731.57,97,23,89
Beetroot,6.9,18.35,44.02,149,521.49,83,52,114
Beetroot,6.54,22.62,42.28,490,752.88,108,29,120
Beetroot,7.28,15.75,51.07,336,529.31,107,60,99
Beetroot,6.19,20.82,52.49,421,569.46,118,50,104
Beetroot,6.32,17.47,42.11,547,638.0,89,29,113
