Crop,pH,Temperature (°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Moringa (Sitalchini),6.62,34.83,53.53,1022,601.1,94,47,115
Moringa (Sitalchini),6.15,27.6,47.75,147,581.93,92,44,96
Moringa (Sitalchini),6.6,25.94,55.18,1215,620.38,103,33,82
Moringa (Sitalchini),6.39,34.69,50.58,621,543.63,100,38,107
Moringa (Sitalchini),6.66,25.12,56.95,244,714.76,98,44,86
Moringa (Sitalchini),6.17,29.43,49.22,933,695.51,80,43,94
Moringa (Sitalchini),6.81,28.17,58.84,1321,540.09,107,37,103
Moringa (Sitalchini),6.94,29.41,52.13,1177,739.0,89,49,118
Moringa (Sitalchini),6.09,29.72,45.7,794,705.1,96,40,115
Moringa (Sitalchini),6.04,28.8,42.91,858,546.13,87,49,87
Moringa (Sitalchini),6.56,31.39,51.59,165,565.55,104,34,118
Moringa (Sitalchini),6.41,27.89,44.18,1490,788.35,118,31,117
Moringa (Sitalchini),6.63,33.17,46.73,1348,566.3,116,49,93
Moringa (Sitalchini),6.56,27.68,54.34,816,657.07,114,33,81
Moringa (Sitalchini),6.15,30.91,41.45,1479,778.67,108,48,93
Moringa (Sitalchini),6.62,34.2,51.92,935,785.13,80,46,94
Moringa (Sitalchini),6.88,34.57,57.62,481,571.27,84,41,101
Moringa (Sitalchini),6.37,32.3,44.18,1145,709.25,92,36,85
Moringa (Sitalchini),6.64,26.07,44.63,1174,684.05,85,42,94
Moringa (Sitalchini),6.39,33.49,50.96,1394,665.99,89,38,106
Moringa (Sitalchini),6.06,34.98,41.84,1277,562.56,109,33,103
Moringa (Sitalchini),6.36,30.41,42.9,520,782.2,106,48,103
Moringa (Sitalchini),6.91,27.76,45.52,78,788.03,106,44,89
Moringa (Sitalchini),6.68,34.93,51.0,1364,503.03,90,40,95
Moringa (Sitalchini),6.01,33.44,55.24,767,533.62,86,44,113
Moringa (Sitalchini),6.03,25.7,41.37,1241,752.94,112,30,89
Moringa (Sitalchini),6.5,34.67,57.1,218,725.09,87,35,118
Moringa (Sitalchini),6.78,25.72,52.5,227,791.18,85,39,111
Moringa (Sitalchini),6.78,29.72,44.94,1358,635.28,95,43,98
Moringa (Sitalchini),6.43,30.04,42.69,1003,608.32,101,40,86
Moringa (Sitalchini),6.82,27.03,51.01,496,673.04,101,33,103
Moringa (Sitalchini),6.23,32.12,55.98,1383,638.18,103,37,100
Moringa (Sitalchini),6.06,33.59,45.05,1187,646.02,92,41,106
Moringa (Sitalchini),6.86,25.48,59.89,1278,622.26,85,42,96
Moringa (Sitalchini),6.96,34.76,58.41,458,532.63,87,33,90
Moringa (Sitalchini),6.71,25.56,40.45,1409,607.24,112,32,104
Moringa (Sitalchini),6.9,33.0,56.76,745,737.57,100,37,85
Moringa (Sitalchini),6.21,25.46,53.64,1499,588.02,115,50,84
Moringa (Sitalchini),6.04,30.04,52.04,395,720.9,102,40,115
Moringa (Sitalchini),6.81,31.41,48.95,1071,553.16,101,37,82
Moringa (Sitalchini),6.69,28.89,44.04,626,561.16,87,50,108
Moringa (Sitalchini),6.06,25.96,53.87,163,514.67,103,47,117
Moringa (Sitalchini),6.3,29.56,44.36,355,641.17,112,39,101
Moringa (Sitalchini),6.92,31.41,40.31,776,790.37,87,44,97
Moringa (Sitalchini),6.33,30.01,51.17,612,562.69,85,31,97
Moringa (Sitalchini),6.2,34.15,51.89,1148,758.92,119,47,94
Moringa (Sitalchini),6.43,28.35,43.91,895,745.07,88,42,112
Moringa (Sitalchini),6.44,29.73,53.21,1271,722.7,88,48,84
Moringa (Sitalchini),6.56,33.72,52.91,1430,545.83,91,36,115
Moringa (Sitalchini),6.87,27.48,59.81,279,616.46,106,32,94
Moringa (Sitalchini),6.98,25.11,45.11,659,686.8,98,48,83
Moringa (Sitalchini),6.7,31.11,45.83,471,507.28,120,35,114
Moringa (Sitalchini),6.65,26.19,57.6,592,748.34,92,45,111
Moringa (Sitalchini),6.27,33.13,58.69,858,592.64,95,46,105
Moringa (Sitalchini),6.08,33.42,52.72,1397,522.04,106,49,89
Moringa (Sitalchini),6.12,30.57,42.33,348,619.59,100,42,85
Moringa (Sitalchini),6.54,28.99,51.6,896,781.48,103,45,94
Moringa (Sitalchini),6.08,28.29,40.35,1025,674.32,90,40,83
Moringa (Sitalchini),6.43,26.33,50.04,561,757.79,100,40,112
Moringa (Sitalchini),6.4,28.59,43.98,1164,735.93,107,38,109
Moringa (Sitalchini),6.75,27.08,53.76,1172,575.53,103,35,102
Moringa (Sitalchini),6.12,33.0,57.25,433,673.64,102,36,108
Moringa (Sitalchini),6.15,25.58,59.63,883,633.76,115,35,112
Moringa (Sitalchini),6.99,31.63,44.09,343,762.92,90,45,117
Moringa (Sitalchini),6.61,34.46,42.39,729,540.01,111,45,111
Moringa (Sitalchini),6.35,26.67,47.28,417,612.55,102,46,100
Moringa (Sitalchini),6.36,28.53,43.59,352,684.07,88,38,110
Moringa (Sitalchini),6.81,34.14,41.53,360,533.56,93,31,83
Moringa (Sitalchini),6.78,28.63,55.15,1128,576.52,81,50,97
Moringa (Sitalchini),6.76,33.84,56.82,599,714.0,107,34,83
Moringa (Sitalchini),6.78,31.31,48.78,1110,564.09,100,33,80
