Crop,pH,Temperature (Â°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Lettuce,6.51,11.47,44.58,1058,577.39,108,30,81
Lettuce,6.77,16.92,42.86,963,598.32,103,30,96
Lettuce,6.74,23.22,40.55,954,586.15,98,23,110
Lettuce,6.84,15.1,43.59,158,599.28,107,40,118
Lettuce,6.82,20.98,54.53,313,554.78,107,39,102
Lettuce,6.31,15.96,48.94,1112,562.44,110,24,89
Lettuce,6.17,16.95,58.77,350,526.87,114,31,86
Lettuce,6.07,18.39,46.07,561,550.62,94,40,90
Lettuce,6.74,15.66,40.75,1171,594.53,94,24,118
Lettuce,6.02,10.64,50.22,329,626.55,87,23,88
Lettuce,6.91,14.38,41.57,336,621.06,105,34,99
Lettuce,6.64,18.07,40.71,1140,626.76,87,34,117
Lettuce,6.11,12.88,40.32,895,542.5,93,26,100
Lettuce,6.41,22.83,53.67,339,511.42,113,28,108
Lettuce,6.88,12.53,55.78,62,676.01,80,38,115
Lettuce,6.67,14.28,54.84,403,500.56,113,29,102
Lettuce,6.06,22.28,43.31,1161,620.47,94,22,90
Lettuce,6.61,19.37,51.96,483,607.93,105,33,113
Lettuce,6.48,23.58,54.85,777,630.92,105,35,103
Lettuce,6.02,11.77,46.4,1281,633.7,98,22,120
Lettuce,6.38,10.19,59.53,908,689.36,110,34,106
Lettuce,6.24,19.78,45.02,686,530.62,100,35,99
Lettuce,6.86,13.82,53.26,901,578.86,118,35,115
Lettuce,6.59,22.69,42.83,1244,575.2,117,35,84
Lettuce,6.5,23.2,56.58,599,531.55,106,30,104
Lettuce,6.21,15.2,44.84,208,586.87,106,29,113
Lettuce,6.8,16.14,46.38,448,607.06,118,22,102
Lettuce,6.56,14.94,49.55,1118,609.41,98,37,95
Lettuce,6.66,14.6,51.11,686,693.53,80,33,97
Lettuce,6.52,19.42,50.79,440,536.08,108,39,107
Lettuce,6.67,20.54,51.67,1129,656.79,83,20,114
Lettuce,7.0,16.0,52.9,979,568.41,119,35,109
Lettuce,6.53,16.71,41.38,1187,503.54,113,28,107
Lettuce,6.8,18.46,45.81,240,677.26,117,38,81
Lettuce,6.52,24.96,49.61,258,635.05,117,34,107
