Crop,pH,Temperature (Â°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Goji Berries,7.69,19.24,58.74,1014,454.66,61,48,73
Goji Berries,7.84,28.08,62.19,1298,567.32,105,51,67
Goji Berries,7.27,22.19,69.67,969,614.51,51,42,86
Goji Berries,6.13,21.69,62.88,406,351.45,52,26,78
Goji Berries,7.3,17.72,51.89,1248,873.91,116,46,115
Goji Berries,6.27,22.08,60.23,1266,727.32,114,43,118
Goji Berries,7.34,19.86,69.59,138,542.58,83,55,88
Goji Berries,6.75,29.58,49.25,744,699.96,110,49,117
Goji Berries,6.22,19.49,66.96,1110,893.73,111,38,75
Goji Berries,7.65,30.0,47.03,893,805.34,61,31,72
Goji Berries,6.05,25.51,60.22,710,663.59,52,45,86
Goji Berries,7.61,24.54,61.24,1098,403.28,115,53,86
Goji Berries,6.33,27.69,40.19,195,680.86,53,27,100
Goji Berries,7.18,15.75,49.5,973,734.37,114,22,100
Goji Berries,7.37,28.45,57.01,771,857.53,58,58,73
Goji Berries,7.25,24.51,67.66,403,850.41,93,36,84
Goji Berries,7.38,15.78,62.67,253,764.34,113,24,65
Goji Berries,7.91,29.71,53.94,1215,498.8,73,54,118
Goji Berries,6.7,22.46,60.84,1147,593.91,83,38,44
Goji Berries,6.29,22.66,44.79,431,430.33,99,35,91
Goji Berries,6.19,19.56,64.51,1456,536.76,111,57,88
Goji Berries,6.76,25.27,46.48,839,792.17,90,42,69
Goji Berries,7.68,26.43,62.06,528,338.55,80,38,96
Goji Berries,7.29,21.96,48.76,1282,743.05,94,56,92
Goji Berries,7.87,21.86,41.07,770,655.92,92,55,88
Goji Berries,7.67,21.14,43.55,430,428.11,83,25,92
Goji Berries,6.31,27.9,65.8,214,665.93,74,54,49
Goji Berries,6.33,28.24,46.1,116,736.47,62,49,105
Goji Berries,7.36,15.29,61.78,266,814.14,115,58,97
Goji Berries,7.99,25.15,52.87,1078,343.85,77,46,74
Goji Berries,6.26,18.3,40.88,1111,640.68,102,35,109
Goji Berries,6.31,29.39,51.74,318,529.83,55,32,54
Goji Berries,7.47,22.31,54.39,1339,893.59,106,58,76
Goji Berries,6.42,16.53,43.21,419,772.56,62,20,69
Goji Berries,7.8,17.66,53.61,1162,323.9,96,59,90
Goji Berries,6.25,26.12,47.71,344,745.92,105,27,44
Goji Berries,6.11,15.94,47.24,1343,894.09,98,37,99
Goji Berries,7.1,27.19,54.89,317,649.73,91,59,110
