Crop,pH,Temperature (Â°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Vanilla,5.52,20.14,71.54,816,2291.82,60,38,46
Vanilla,5.9,29.77,74.04,395,2290.51,78,21,64
Vanilla,6.46,28.16,74.5,854,1816.02,76,21,77
Vanilla,5.84,29.15,74.27,410,2382.14,55,22,54
Vanilla,5.65,27.67,72.11,1000,1539.68,52,20,69
Vanilla,5.65,23.34,77.5,424,1855.08,58,25,77
Vanilla,5.5,22.95,73.92,1452,1573.55,77,28,58
Vanilla,6.04,28.57,75.87,1052,1656.51,67,36,41
Vanilla,5.91,26.46,73.62,502,1609.8,69,29,44
Vanilla,6.14,28.6,75.53,1008,2244.29,66,35,60
Vanilla,5.52,26.25,76.17,1468,2328.03,63,40,55
Vanilla,5.52,26.58,70.48,1487,1713.34,58,28,76
Vanilla,5.89,23.56,76.39,1399,2461.98,45,23,54
Vanilla,6.11,27.73,71.37,764,1977.89,54,21,77
Vanilla,6.02,21.33,78.93,913,1655.81,49,33,65
Vanilla,6.42,20.99,76.59,493,2215.03,45,26,47
Vanilla,6.03,25.56,74.59,406,1567.4,40,21,48
Vanilla,5.65,27.8,73.11,75,2057.91,71,31,78
Vanilla,5.55,23.45,73.47,805,2099.61,63,35,74
Vanilla,5.51,27.27,79.52,759,1938.38,53,21,63
Vanilla,5.76,29.93,74.83,881,2370.33,59,25,47
Vanilla,5.84,26.34,78.7,550,1594.95,67,35,51
Vanilla,6.07,23.02,75.72,40,1555.2,63,27,66
Vanilla,6.17,27.92,71.89,931,1574.73,49,25,69
Vanilla,6.09,20.26,76.31,1088,2402.39,44,24,56
Vanilla,6.24,25.49,79.55,728,1648.4,65,24,51
Vanilla,6.29,27.0,72.5,560,2031.82,68,20,42
Vanilla,5.78,26.01,72.75,765,2478.1,54,24,56
Vanilla,5.97,22.51,79.62,739,2258.65,53,32,69
Vanilla,5.85,21.47,78.82,1012,2313.6,74,32,56
Vanilla,5.7,24.12,73.31,483,1512.1,57,25,67
Vanilla,5.78,23.55,79.43,1082,1791.86,77,35,79
Vanilla,6.29,21.11,73.72,714,2401.05,48,25,80
Vanilla,5.86,22.07,78.83,1172,1557.88,60,39,66
Vanilla,5.97,29.62,70.36,156,1983.08,60,26,67
Vanilla,6.16,25.92,73.26,1476,1858.38,68,30,80
Vanilla,6.17,28.34,73.14,981,1698.08,80,26,46
Vanilla,6.04,20.6,75.0,799,1679.41,73,35,75
Vanilla,6.2,27.95,70.9,833,2103.41,73,24,77
Vanilla,5.89,25.98,75.33,1151,1613.33,59,21,62
Vanilla,6.5,29.05,73.05,1192,1927.96,66,26,68
Vanilla,5.88,22.96,75.22,430,2029.5,66,23,65
Vanilla,6.15,26.33,79.64,1225,2333.24,76,37,62
Vanilla,6.38,24.48,75.2,706,2478.25,72,20,44
Vanilla,5.67,29.76,70.86,393,1791.88,78,29,48
Vanilla,6.04,26.63,78.37,874,1620.52,77,29,64
Vanilla,6.45,28.85,79.64,293,2177.24,45,22,48
Vanilla,5.71,20.24,74.06,1492,2057.1,60,38,41
Vanilla,5.61,24.71,71.08,267,1755.42,45,26,46
Vanilla,5.96,24.47,74.41,1418,1563.97,54,28,75
Vanilla,5.8,28.89,73.59,586,2200.28,40,23,64
Vanilla,6.29,27.06,79.22,291,2416.23,61,28,78
Vanilla,5.85,28.82,71.73,441,1673.89,66,35,75
Vanilla,5.97,29.81,71.51,323,2389.65,69,22,69
Vanilla,5.99,24.46,72.99,758,1773.87,66,40,42
Vanilla,6.26,22.09,78.69,1147,1650.62,68,27,57
Vanilla,5.56,29.67,76.79,1306,2416.91,54,21,72
Vanilla,6.22,23.27,79.89,477,1643.46,60,33,42
Vanilla,6.4,23.65,75.9,865,2229.51,79,25,40
Vanilla,6.27,20.36,75.38,887,1722.34,53,38,77
Vanilla,6.48,29.32,73.4,454,2340.86,63,27,71
Vanilla,6.45,29.18,76.56,1157,1927.09,80,36,62
