Crop,pH,Temperature (°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Mountain Apple (Rose Apple),6.3,28.21,63.75,1146,1169.36,102,23,94
Mountain Apple (Rose Apple),6.15,22.6,55.17,1178,1018.05,86,57,114
Mountain Apple (Rose Apple),5.52,29.95,56.7,1366,1479.57,120,25,88
Mountain Apple (Rose Apple),5.74,22.37,63.24,1311,1420.26,117,30,88
Mountain Apple (Rose Apple),5.99,27.78,68.44,1317,1374.94,115,25,119
Mountain Apple (Rose Apple),5.89,21.26,64.7,1361,1153.02,105,40,64
Mountain Apple (Rose Apple),6.65,20.89,65.88,333,1241.05,90,57,119
Mountain Apple (Rose Apple),6.66,25.55,63.99,364,1013.08,103,38,73
Mountain Apple (Rose Apple),6.08,20.93,50.33,139,1437.65,82,34,84
Mountain Apple (Rose Apple),6.0,22.95,63.75,62,1125.11,86,44,65
Mountain Apple (Rose Apple),6.91,29.46,56.49,578,1342.97,99,34,114
Mountain Apple (Rose Apple),5.7,20.26,62.44,659,1178.6,102,42,55
Mountain Apple (Rose Apple),5.85,29.77,56.88,914,1498.07,91,59,92
Mountain Apple (Rose Apple),6.94,27.93,68.79,1303,1170.09,104,44,98
Mountain Apple (Rose Apple),5.97,28.85,67.08,1094,1370.46,94,38,64
Mountain Apple (Rose Apple),6.08,22.31,53.28,128,1495.83,117,49,94
Mountain Apple (Rose Apple),6.85,26.71,57.51,705,1482.37,96,48,63
Mountain Apple (Rose Apple),5.79,21.81,62.03,1167,1048.73,113,31,97
Mountain Apple (Rose Apple),6.51,22.85,58.22,736,1309.15,113,41,71
Mountain Apple (Rose Apple),6.38,24.77,67.42,192,1125.73,110,58,77
Mountain Apple (Rose Apple),5.55,27.77,51.79,991,1395.89,92,42,58
Mountain Apple (Rose Apple),5.95,24.36,58.88,158,1238.3,88,43,97
Mountain Apple (Rose Apple),5.93,24.3,59.68,466,1082.07,93,44,83
Mountain Apple (Rose Apple),6.56,20.29,55.63,1088,1125.78,101,22,105
Mountain Apple (Rose Apple),5.84,25.1,68.78,1461,1258.73,92,40,100
Mountain Apple (Rose Apple),6.06,25.07,67.76,1259,1208.15,105,50,80
Mountain Apple (Rose Apple),6.11,21.97,69.79,462,1179.47,106,28,72
Mountain Apple (Rose Apple),6.59,27.56,57.67,606,1070.33,89,54,66
Mountain Apple (Rose Apple),6.47,23.59,56.49,965,1474.26,119,23,70
Mountain Apple (Rose Apple),5.82,21.79,69.98,970,1018.38,111,49,53
Mountain Apple (Rose Apple),5.73,23.69,52.57,1315,1321.47,107,26,112
Mountain Apple (Rose Apple),6.82,23.08,68.43,1452,1128.49,84,35,89
Mountain Apple (Rose Apple),6.7,25.11,69.28,632,1495.63,108,36,111
Mountain Apple (Rose Apple),6.74,20.02,61.78,1106,1454.69,101,25,65
Mountain Apple (Rose Apple),6.8,27.99,55.34,806,1210.32,81,32,110
Mountain Apple (Rose Apple),5.7,22.0,51.1,195,1023.67,117,52,104
Mountain Apple (Rose Apple),6.89,20.22,55.18,994,1109.85,97,45,74
Mountain Apple (Rose Apple),5.51,24.86,66.42,217,1405.81,102,51,113
Mountain Apple (Rose Apple),5.88,28.74,69.81,103,1198.01,110,25,50
Mountain Apple (Rose Apple),5.57,23.96,60.32,129,1146.63,95,22,69
Mountain Apple (Rose Apple),5.77,29.82,59.5,348,1284.66,115,45,112
Mountain Apple (Rose Apple),6.72,25.95,61.46,639,1386.62,103,34,105
Mountain Apple (Rose Apple),6.69,26.49,60.67,108,1182.36,113,37,74
Mountain Apple (Rose Apple),6.47,21.74,58.96,1459,1303.89,99,27,80
Mountain Apple (Rose Apple),6.63,20.39,64.1,1118,1102.14,100,54,64
Mountain Apple (Rose Apple),6.44,21.17,50.73,861,1243.06,101,56,108
Mountain Apple (Rose Apple),6.33,26.97,65.77,792,1373.07,102,47,75
Mountain Apple (Rose Apple),6.54,24.63,58.02,1487,1264.52,88,52,70
Mountain Apple (Rose Apple),6.37,28.78,67.9,858,1122.34,111,33,54
Mountain Apple (Rose Apple),6.24,22.28,52.16,171,1368.38,88,41,96
Mountain Apple (Rose Apple),6.3,29.31,63.04,679,1292.12,83,25,56
