Crop,pH,Temperature (Â°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Bitter Melon,6.43,32.69,65.92,640,614.93,105,30,93
Bitter Melon,6.01,28.82,40.82,623,792.96,92,20,88
Bitter Melon,7.24,29.5,60.58,369,606.01,87,20,120
Bitter Melon,6.67,28.22,58.21,696,772.38,98,26,81
Bitter Melon,6.98,31.14,62.29,722,939.1,81,38,86
Bitter Melon,7.27,33.47,45.22,1067,962.5,91,39,107
Bitter Melon,7.18,29.1,64.31,1480,931.08,101,20,89
Bitter Melon,7.34,32.72,61.75,1461,984.61,118,31,111
Bitter Melon,6.99,31.12,54.99,720,720.85,106,25,83
Bitter Melon,7.24,34.71,67.54,114,547.8,81,40,98
Bitter Melon,7.5,34.71,64.99,927,917.39,116,33,81
Bitter Melon,7.29,33.29,69.9,801,834.7,117,23,100
Bitter Melon,6.41,34.95,40.65,853,867.62,101,31,88
Bitter Melon,7.32,25.14,45.61,1443,757.11,112,27,96
Bitter Melon,7.35,29.73,44.83,1221,818.37,112,30,101
Bitter Melon,6.78,27.03,62.71,1488,855.7,106,22,103
Bitter Melon,6.01,30.87,59.23,903,716.23,115,40,93
Bitter Melon,6.59,26.05,46.37,989,780.15,91,32,113
Bitter Melon,6.1,29.31,65.88,193,653.87,119,30,113
Bitter Melon,6.27,28.31,69.55,680,808.95,89,21,85
Bitter Melon,6.6,30.3,54.09,838,871.78,82,26,101
Bitter Melon,6.03,35.39,45.71,1436,559.19,96,37,87
Bitter Melon,6.75,31.76,58.72,1425,976.9,107,25,95
Bitter Melon,6.72,30.19,68.16,1252,675.82,93,33,109
Bitter Melon,7.28,33.83,54.87,1320,512.46,89,30,81
Bitter Melon,7.18,32.06,59.18,325,888.19,119,29,93
Bitter Melon,7.14,27.84,55.44,144,522.18,118,38,112
Bitter Melon,6.36,31.42,63.13,962,865.72,82,32,90
Bitter Melon,6.65,33.43,45.19,853,942.57,97,22,84
Bitter Melon,7.25,29.1,43.24,550,571.02,91,20,90
Bitter Melon,6.05,35.8,64.81,72,904.61,97,22,119
Bitter Melon,6.65,35.46,61.16,1402,818.24,119,31,120
Bitter Melon,6.38,31.53,57.4,1359,723.47,81,27,115
Bitter Melon,7.37,31.39,44.33,433,936.11,103,39,86
Bitter Melon,7.37,28.39,42.05,1356,875.54,84,30,112
Bitter Melon,6.03,31.5,54.25,1392,538.35,114,37,94
