Crop,pH,Temperature (Â°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Quinoa,7.05,22.76,58.11,3157,516.38,68,40,70
Quinoa,6.59,32.82,46.54,3621,491.37,70,24,67
Quinoa,7.03,29.53,58.08,2350,366.52,74,40,73
Quinoa,6.35,32.66,66.22,3356,321.59,52,28,56
Quinoa,6.89,34.8,59.63,3677,340.95,43,33,47
Quinoa,6.51,24.19,58.67,3989,350.82,58,29,80
Quinoa,6.24,33.5,56.73,2935,513.68,57,30,62
Quinoa,7.63,24.45,55.36,3126,490.11,50,27,46
Quinoa,6.63,21.24,67.56,3473,478.14,48,37,47
Quinoa,6.9,28.37,55.09,2218,333.05,46,32,72
Quinoa,6.28,27.74,52.93,2220,383.03,72,38,76
Quinoa,6.9,24.24,54.95,3993,413.24,68,28,61
Quinoa,6.14,26.35,49.38,3628,568.7,46,29,54
Quinoa,6.36,30.54,53.97,2406,394.08,44,36,45
Quinoa,7.5,32.13,41.38,2464,592.48,41,37,71
Quinoa,7.36,25.39,69.62,3523,591.33,49,24,59
Quinoa,6.13,22.1,68.3,3130,398.13,59,23,53
Quinoa,6.32,26.34,41.38,2098,577.48,41,30,60
Quinoa,7.49,28.88,49.24,2080,537.17,54,36,49
Quinoa,6.84,24.24,59.33,3310,571.34,64,28,53
Quinoa,7.15,33.44,61.25,3370,366.64,68,32,48
Quinoa,6.72,29.3,62.32,2503,549.86,79,40,57
Quinoa,7.77,22.22,60.94,3734,502.08,80,21,44
Quinoa,7.37,26.15,45.18,3482,429.9,68,20,78
Quinoa,6.18,34.84,66.31,2101,323.97,58,29,44
Quinoa,7.89,25.05,40.61,2447,547.33,56,28,63
Quinoa,7.52,25.08,69.42,3159,443.75,80,23,53
Quinoa,7.93,30.13,46.19,3454,588.49,63,32,70
Quinoa,6.65,31.38,56.2,3112,520.86,57,40,77
Quinoa,7.36,22.97,67.76,3747,576.41,64,31,60
Quinoa,7.07,21.09,42.91,3313,416.86,66,21,52
Quinoa,6.6,26.21,48.33,3015,375.13,56,21,76
Quinoa,7.41,31.39,65.53,2422,340.18,69,28,55
Quinoa,7.7,24.21,65.81,2306,568.57,40,23,77
Quinoa,7.26,29.78,63.05,3661,493.67,47,36,65
Quinoa,6.02,22.94,44.88,2084,571.86,70,38,55
Quinoa,6.3,26.95,45.34,3664,565.9,71,37,45
Quinoa,7.15,28.41,56.72,3132,316.34,78,31,42
Quinoa,7.49,28.4,63.63,2674,529.74,64,30,70
Quinoa,7.24,29.45,62.03,2186,573.28,51,28,53
Quinoa,6.72,34.13,56.28,3588,542.01,69,32,76
