Crop,pH,Temperature (Â°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Brinjal (Eggplant),6.37,25.41,63.57,1463,579.11,88,49,98
Brinjal (Eggplant),5.93,23.66,58.21,305,691.35,98,42,100
Brinjal (Eggplant),6.16,26.57,59.46,1175,546.08,74,48,87
Brinjal (Eggplant),6.24,22.41,54.39,1402,633.27,85,51,105
Brinjal (Eggplant),6.04,21.35,56.23,603,599.2,87,43,102
Brinjal (Eggplant),5.97,28.21,57.72,53,741.67,75,58,86
Brinjal (Eggplant),6.22,22.94,69.38,1402,733.48,99,41,101
Brinjal (Eggplant),5.97,20.91,62.52,93,786.7,92,41,100
Brinjal (Eggplant),5.71,26.19,55.35,263,637.39,88,41,102
Brinjal (Eggplant),6.47,24.79,65.4,1365,662.81,67,58,86
Brinjal (Eggplant),6.43,25.37,68.4,957,774.03,82,47,87
Brinjal (Eggplant),5.84,23.51,68.53,154,596.87,90,54,80
Brinjal (Eggplant),5.55,26.43,64.26,178,689.85,62,53,88
Brinjal (Eggplant),6.43,26.54,67.39,386,634.0,72,44,114
Brinjal (Eggplant),5.51,28.24,69.8,1098,534.92,70,55,97
Brinjal (Eggplant),5.51,28.17,69.09,1160,518.33,61,54,84
Brinjal (Eggplant),5.56,25.47,65.35,1395,708.77,80,42,106
Brinjal (Eggplant),5.57,29.77,55.03,798,686.82,79,57,107
Brinjal (Eggplant),5.63,27.57,55.93,1231,750.22,68,54,90
Brinjal (Eggplant),6.27,21.0,64.85,1039,713.87,93,50,101
Brinjal (Eggplant),5.88,26.22,63.98,1262,779.41,96,43,87
Brinjal (Eggplant),5.77,21.74,67.47,858,776.53,83,56,93
Brinjal (Eggplant),5.98,21.65,63.18,918,696.97,71,43,97
Brinjal (Eggplant),6.38,23.63,68.79,587,770.27,84,49,97
Brinjal (Eggplant),5.52,21.53,64.28,79,649.59,100,49,100
Brinjal (Eggplant),5.83,29.99,68.34,948,529.89,64,53,102
Brinjal (Eggplant),5.79,26.73,57.45,1060,710.24,79,56,87
Brinjal (Eggplant),5.53,24.86,59.95,405,794.29,99,41,100
Brinjal (Eggplant),5.69,20.28,52.04,12,615.15,61,41,109
Brinjal (Eggplant),6.44,20.35,58.73,384,723.25,81,56,88
Brinjal (Eggplant),6.17,21.15,67.03,598,579.3,80,44,110
Brinjal (Eggplant),6.09,22.87,54.17,517,638.06,73,46,99
Brinjal (Eggplant),5.76,24.4,59.42,1293,616.05,84,59,115
Brinjal (Eggplant),5.66,21.71,51.63,801,584.67,78,54,93
Brinjal (Eggplant),5.67,24.03,55.17,677,579.45,73,48,112
Brinjal (Eggplant),5.81,20.67,56.38,1029,654.67,98,50,103
Brinjal (Eggplant),6.27,28.08,68.84,492,513.9,88,41,107
Brinjal (Eggplant),6.26,23.61,61.77,696,643.97,71,42,99
Brinjal (Eggplant),5.72,21.63,58.49,187,729.57,76,55,101
Brinjal (Eggplant),5.94,23.5,61.74,569,607.77,65,45,100
Brinjal (Eggplant),6.32,24.18,50.38,1293,555.57,96,54,114
Brinjal (Eggplant),5.63,24.69,58.43,1003,735.05,69,42,117
Brinjal (Eggplant),5.88,21.69,55.84,461,581.72,90,53,109
Brinjal (Eggplant),6.31,24.58,58.16,495,519.69,65,58,82
Brinjal (Eggplant),5.93,22.51,65.51,22,534.46,90,58,93
