Crop,pH,Temperature (°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Bottle Gourd,6.03,25.15,51.66,103,783.52,100,28,102
Bottle Gourd,7.35,24.36,52.57,1500,708.7,86,28,94
Bottle Gourd,6.53,21.29,67.24,146,876.91,111,32,84
Bottle Gourd,6.99,31.31,69.16,579,885.14,93,37,81
Bottle Gourd,7.37,29.29,54.87,1050,977.57,99,24,90
Bottle Gourd,7.44,31.03,66.96,1417,647.78,117,25,106
Bottle Gourd,6.86,24.02,63.49,586,926.36,85,37,110
Bottle Gourd,6.67,34.63,54.55,946,878.49,104,29,117
Bottle Gourd,7.47,34.13,63.94,1018,635.52,95,23,95
Bottle Gourd,6.14,26.47,64.56,259,999.44,104,34,101
Bottle Gourd,7.12,27.85,55.88,1085,674.92,110,28,87
Bottle Gourd,6.56,30.84,55.73,623,638.04,96,40,90
Bottle Gourd,6.21,29.27,62.72,462,999.26,80,20,117
Bottle Gourd,7.37,26.58,62.46,340,836.11,103,22,103
Bottle Gourd,7.03,24.1,66.48,692,677.5,88,26,100
Bottle Gourd,7.26,22.15,52.71,999,800.45,118,21,113
Bottle Gourd,6.22,34.18,63.89,1453,920.24,97,30,80
Bottle Gourd,7.24,24.78,59.07,1325,991.1,81,31,83
Bottle Gourd,7.21,25.65,61.9,173,674.3,84,37,94
Bottle Gourd,7.12,32.81,68.56,1390,885.5,86,31,99
Bottle Gourd,6.21,34.7,50.56,1461,849.54,117,35,83
Bottle Gourd,6.38,27.63,58.8,1272,916.6,102,34,119
Bottle Gourd,6.85,33.95,57.1,86,680.59,118,30,83
Bottle Gourd,7.17,32.25,66.18,1144,917.64,112,40,83
Bottle Gourd,6.35,34.08,64.79,502,862.93,101,33,112
Bottle Gourd,7.08,23.98,61.9,1099,695.32,114,23,89
Bottle Gourd,6.21,30.92,50.82,1403,948.51,83,27,96
Bottle Gourd,6.62,25.01,55.48,1447,681.41,96,32,88
Bottle Gourd,6.53,25.35,69.48,1032,687.5,117,33,106
Bottle Gourd,6.12,25.49,54.37,360,745.01,84,25,80
Bottle Gourd,6.79,20.41,53.68,1035,870.22,85,31,89
Bottle Gourd,7.42,32.63,52.44,110,905.32,94,33,86
Bottle Gourd,7.16,24.68,54.83,1210,666.96,114,40,110
Bottle Gourd,6.27,20.61,67.62,796,795.45,96,34,101
Bottle Gourd,6.44,29.32,69.63,660,763.6,119,34,98
Bottle Gourd,6.52,21.03,57.63,888,962.63,95,32,100
Bottle Gourd,6.57,29.98,64.78,677,910.43,108,39,93
Bottle Gourd,7.14,28.33,50.73,1324,823.73,96,21,93
Bottle Gourd,6.78,21.97,55.99,1044,796.14,82,33,97
Bottle Gourd,6.67,28.02,67.49,914,787.05,106,25,84
Bottle Gourd,6.53,29.63,54.74,433,904.94,114,39,97
Bottle Gourd,7.33,34.23,53.37,237,635.57,100,22,108
Bottle Gourd,7.01,28.64,66.43,1318,703.13,110,20,90
Bottle Gourd,6.73,31.88,56.17,625,830.23,94,33,82
Bottle Gourd,6.34,31.34,67.26,1441,721.27,85,27,93
Bottle Gourd,7.36,22.85,59.2,1302,706.11,80,39,94
Bottle Gourd,7.35,24.69,66.42,544,880.79,99,40,94
Bottle Gourd,6.46,22.34,59.62,1347,962.6,92,38,115
Bottle Gourd,6.53,26.25,62.99,1035,633.77,103,32,104
Bottle Gourd,6.77,30.32,52.4,77,779.74,116,32,117
Bottle Gourd,7.21,25.03,63.95,766,749.97,88,32,104
Bottle Gourd,6.1,30.85,51.16,1289,630.64,95,35,92
Bottle Gourd,7.32,21.1,61.26,1413,940.26,80,38,107
Bottle Gourd,7.24,27.97,51.06,526,827.06,96,22,111
Bottle Gourd,6.0,29.25,63.5,197,707.08,85,31,113
